% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        1.1450000000         0.0423487410         2.5000000000        -1.3174463296
        1.1500000000         0.1390576475         2.7586463122        -1.3839336538
        1.1550000000         0.2290686371         2.8107595399        -1.1844716811
        1.1600000000         0.3080461977         2.8570649254         0.3447367761
        1.1650000000         0.3721862584         2.8950842116         0.2117621277
        1.1700000000         0.4183994186         2.9227136473        -0.4531111146
        1.1750000000         0.4444597533         2.9383835146         0.0787874792
        1.1800000000         0.4491120278         2.9411877384        -0.0541871692
        1.1850000000         0.4321321586         2.9309629392        -0.1206744935
        1.1900000000         0.3943380060         2.9083030237         0.3447367761
        1.1950000000         0.3375499813         2.8745066394         2.6053057998
        1.2000000000         0.2645033635         2.8314669659         1.3420466395
        1.2050000000         0.1787165508         2.7815222962         1.1425846668
        1.2100000000         0.0843215916         2.7272892259         1.5415086122
        1.2150000000        -0.0141348416         2.5000000000         1.3420466395
        1.2200000000        -0.1119104492         2.2472691881         1.0760973426
        1.2250000000        -0.2042957249         2.2006909874         0.7436607215
        1.2300000000        -0.2868407954         2.1584377317        -0.3201364662
        1.2350000000        -0.3555697556         2.1227785450        -0.6525730873
        1.2400000000        -0.4071721736         2.0957090592        -0.1871618177
        1.2450000000        -0.4391625429         2.0787964297        -0.0541871692
        1.2500000000        -0.4500000000         2.0730437205        -0.7190604115
        1.2550000000        -0.4391625429         2.0787964297         0.0787874792
        1.2600000000        -0.4071721736         2.0957090592        -0.7855477357
        1.2650000000        -0.3555697556         2.1227785450        -3.0461167594
        1.2700000000        -0.2868407954         2.1584377317        -1.3174463296
        1.2750000000        -0.2042957249         2.2006909874        -1.5169083022
        1.2800000000        -0.1119104492         2.2472691881        -1.8493449234
        1.2850000000        -0.0141348416         2.5000000000        -1.7828575991
        1.2900000000         0.0843215916         2.7272892259        -0.9850097084
        1.2950000000         0.1787165508         2.7815222962        -0.9850097084
        1.3000000000         0.2645033635         2.8314669659        -0.8520350600
        1.3050000000         0.3375499813         2.8745066394         0.3447367761
        1.3100000000         0.3943380060         2.9083030237        -0.3201364662
        1.3150000000         0.4321321586         2.9309629392         0.0787874792
        1.3200000000         0.4491120278         2.9411877384         0.1452748034
        1.3250000000         0.4444597533         2.9383835146        -0.2536491419
        1.3300000000         0.4183994186         2.9227136473         0.0787874792
        1.3350000000         0.3721862584         2.8950842116         2.4723311514
        1.3400000000         0.3080461977         2.8570649254         1.3420466395
        1.3450000000         0.2290686371         2.8107595399         1.4750212880
        1.3500000000         0.1390576475         2.7586463122         1.4750212880
        1.3550000000         0.0423487410         2.5000000000         1.4750212880
        1.3600000000        -0.0563999551         2.5000000000         1.0760973426
        1.3650000000        -0.1524320641         2.2269297288         1.2090719911
        1.3700000000        -0.2411220577         2.1819161471         0.8766353699
        1.3750000000        -0.3181980515         2.1422233970        -0.1206744935
        1.3800000000        -0.3799475665         2.1100226865        -0.3866237904
