% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        2.6904204000         1.3914381925         2.6844268933        -0.1030553526
        2.6954170000         1.3990951731         2.6895306482         0.0964066201
        2.7004033000         1.4016475000         2.6997381580         0.1628939444
        2.7054147000         1.3888858657         2.6895306482        -0.1695426768
        2.7103989000         1.4016475000         2.6971862806         0.1628939444
        2.7153835000         1.3965428462         2.6920825256         0.0299192959
        2.7204110000         1.4016475000         2.6997381580         0.1628939444
        2.7253962000         1.3939905194         2.6920825256        -0.0365680283
        2.7304049000         1.3939905194         2.6895306482        -0.0365680283
        2.7353947000         1.3888858657         2.6844268933        -0.1695426768
        2.7404042000         1.4016475000         2.6997381580         0.1628939444
        2.7453859000         1.3965428462         2.6920825256         0.0299192959
        2.7504152000         1.4016475000         2.6971862806         0.1628939444
        2.7554011000         1.3990951731         2.6895306482         0.0964066201
        2.7603847000         1.3965428462         2.6920825256         0.0299192959
        2.7654007000         1.3888858657         2.6869787707        -0.1695426768
        2.7703759000         1.3939905194         2.6920825256        -0.0365680283
        2.7754131000         1.3888858657         2.6869787707        -0.1695426768
        2.7803979000         1.3965428462         2.6946344031         0.0299192959
        2.7853817000         1.3965428462         2.6920825256         0.0299192959
        2.7903855000         1.3888858657         2.6869787707        -0.1695426768
        2.7953995000         1.3965428462         2.6920825256         0.0299192959
        2.8004086000         1.3965428462         2.6920825256         0.0299192959
        2.8054839000         1.3914381925         2.6869787707        -0.1030553526
        2.8104271000         1.4016475000         2.6971862806         0.1628939444
        2.8154138000         1.3965428462         2.6920825256         0.0299192959
        2.8204208000         1.3965428462         2.6920825256         0.0299192959
        2.8254265000         1.3914381925         2.6869787707        -0.1030553526
        2.8305899000         1.4016475000         2.6971862806         0.1628939444
        2.8354211000         1.4016475000         2.6997381580         0.1628939444
        2.8403988000         1.3914381925         2.6844268933        -0.1030553526
        2.8454067000         1.3939905194         2.6895306482        -0.0365680283
        2.8503890000         1.3965428462         2.6920825256         0.0299192959
        2.8554019000         1.3888858657         2.6869787707        -0.1695426768
        2.8603837000         1.4016475000         2.6971862806         0.1628939444
        2.8653860000         1.3965428462         2.6920825256         0.0299192959
        2.8704015000         1.3888858657         2.6869787707        -0.1695426768
        2.8753803000         1.3939905194         2.6920825256        -0.0365680283
        2.8803893000         1.3888858657         2.6869787707        -0.1695426768
        2.8854004000         1.3965428462         2.6997381580         0.0299192959
        2.8903872000         1.3888858657         2.6844268933        -0.1695426768
        2.8953975000         1.3990951731         2.6971862806         0.0964066201
        2.9003969000         1.3888858657         2.6844268933        -0.1695426768
        2.9054069000         1.4016475000         2.6997381580         0.1628939444
        2.9103888000         1.3939905194         2.6895306482        -0.0365680283
        2.9154050000         1.3965428462         2.6869787707         0.0299192959
        2.9203823000         1.3965428462         2.6920825256         0.0299192959
        2.9253919000         1.3965428462         2.6895306482         0.0299192959
        2.9304314000         1.3965428462         2.6895306482         0.0299192959
