% Position Control  theta_d=+30.0000 deg (0.523599 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.338733V  K_gimbal=26.049690  samples=233

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.9556649000       755.1435579523         3.5409421225         1.3454963091         2.7941576240         0.1761914092         0.3364215685
        0.9606382000      -377.6937476342         1.8490589620         1.5956243410         2.8196763986         6.6919491834         0.3667406044
        0.9658076000     -1096.8248830277         0.7230312125         1.7334499913         2.8528508056        10.2822646917         0.4061553511
        0.9706711000     -1128.1039306118         0.6415285876         1.7002697422         2.8860252125         9.4179294767         0.4455700978
        0.9756618000     -1307.9254263676         0.0905639908         1.6977174153         2.9243033744         9.3514421525         0.4910486517
        0.9807342000     -1436.4146767645         0.0000000000         1.6824034542         2.9625815363         8.9525182071         0.5365272056
        0.9856089000     -1539.5588678510         0.0000000000         1.6670894930         2.9957559433         8.5535942618         0.5759419523
        0.9905824000     -1576.2922033401         0.0000000000         1.6415662245         3.0238265953         7.8887210195         0.6092928918
        0.9956909000     -1745.8472500241         0.0000000000         1.6364615707         3.0621047572         7.7557463710         0.6547714456
        1.0005528000      -454.2010471941         1.7673101756         1.3531532897         3.0314822277         0.3756533819         0.6183886025
        1.0055730000       850.1176852910         3.6818041690         1.0698450086         2.9983078207        -7.0044396073         0.5789738558
        1.0105553000      1397.7673937858         5.0000000000         0.9651996075         2.9727890461        -9.7304199006         0.5486548199
        1.0156470000      1431.4525219533         5.0000000000         1.0009321835         2.9370627617        -8.7995973614         0.5062081696
        1.0205088000      1611.2740177091         5.0000000000         1.0034845104         2.8987845998        -8.7331100372         0.4607296158
        1.0257321000      1709.6060476288         5.0000000000         1.0136938178         2.8707139478        -8.4671607403         0.4273786762
        1.0305232000      1766.8722812615         5.0000000000         1.0341124326         2.8426432957        -7.9352621465         0.3940277367
        1.0356329000      1867.6103917646         5.0000000000         1.0468740669         2.8120207662        -7.6028255253         0.3576448936
        1.0405222000      2003.9600106499         5.0000000000         1.0570833743         2.7762944818        -7.3368762284         0.3151982433
        1.0457195000       732.8467059635         3.5109108040         1.3352870017         2.8069170113        -0.0897578877         0.3515810864
        1.0506243000      -458.5410867320         1.7626157946         1.5905196873         2.8400914183         6.5589745350         0.3909958331
        1.0555997000     -1137.2485525766         0.6169479601         1.7308976644         2.8630583154        10.2157773674         0.4182829655
        1.0605783000     -1196.2787400544         0.4497611820         1.6951650884         2.9038883547         9.2849548283         0.4667934229
        1.0656739000     -1388.7727654653         0.0000000000         1.6926127616         2.9447183941         9.2184675040         0.5153038804
        1.0707361000     -1423.1000203711         0.0000000000         1.6696418199         2.9702371687         8.6200815860         0.5456229163
        1.0755990000     -1595.0611476385         0.0000000000         1.6619848393         3.0110672080         8.4206196133         0.5941333738
        1.0806467000     -1550.3050172915         0.0000000000         1.6288045902         3.0289303502         7.5562843984         0.6153566989
        1.0857647000     -1686.6546361768         0.0000000000         1.6185952828         3.0646566347         7.2903351015         0.6578033492
        1.0905850000      -540.5026741970         1.6716623182         1.3557056165         3.0467934924         0.4421407061         0.6365800241
        1.0957204000       774.0825073600         3.5672801009         1.0698450086         3.0136190855        -7.0044396073         0.5971652774
        1.1006557000      1395.3613132024         5.0000000000         0.9626472806         2.9753409236        -9.7969072248         0.5516867235
        1.1055294000      1393.4349329878         5.0000000000         1.0009321835         2.9447183941        -8.7995973614         0.5153038804
        1.1106497000      1494.1730434909         5.0000000000         1.0136938178         2.9140958646        -8.4671607403         0.4789210373
        1.1156108000      1651.0555605197         5.0000000000         1.0187984715         2.8783695801        -8.3341860918         0.4364743870
        1.1206350000      1764.4662006780         5.0000000000         1.0315601058         2.8451951732        -8.0017494707         0.3970596403
        1.1255584000      1809.0599046555         5.0000000000         1.0519787206         2.8196763986        -7.4698508769         0.3667406044
        1.1304971000      1815.6360196675         5.0000000000         1.0723973355         2.8018132564        -6.9379522831         0.3455172793
        1.1356670000       776.9607095722         3.5713530049         1.3148683868         2.8145726437        -0.6216564815         0.3606767972
        1.1407075000      -381.8637820627         1.8446288583         1.5777580530         2.8349876633         6.2265379138         0.3849320260
        1.1455798000     -1198.2051202690         0.4440503135         1.7334499913         2.8732658252        10.2822646917         0.4304105798
        1.1505410000     -1272.9560447236         0.2093987860         1.7079267227         2.9089921097         9.6173914494         0.4728572301
        1.1556815000     -1399.0392145371         0.0000000000         1.6951650884         2.9447183941         9.2849548283         0.5153038804
        1.1606605000     -1519.6680964457         0.0000000000         1.6747464736         2.9855484334         8.7530562344         0.5638143379
