% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        1.0903994000         1.3965428462         3.3453631551         0.0299192959
        1.0953894000         1.4016475000         3.3530187875         0.1628939444
        1.1003854000         1.3939905194         3.3453631551        -0.0365680283
        1.1053934000         1.3965428462         3.3453631551         0.0299192959
        1.1103850000         1.4041998268         3.3530187875         0.2293812686
        1.1154192000         1.3888858657         3.3479150326        -0.1695426768
        1.1204053000         1.3965428462         3.3428112777         0.0299192959
        1.1254141000         1.3939905194         3.3453631551        -0.0365680283
        1.1304901000         1.3965428462         3.3504669101         0.0299192959
        1.1354031000         1.3965428462         3.3453631551         0.0299192959
        1.1403914000         1.3965428462         3.3453631551         0.0299192959
        1.1453908000         1.3965428462         3.3479150326         0.0299192959
        1.1503859000         1.3965428462         3.3453631551         0.0299192959
        1.1554112000         1.4041998268         3.3530187875         0.2293812686
        1.1604048000         1.3888858657         3.3453631551        -0.1695426768
        1.1654096000         1.3888858657         3.3402594002        -0.1695426768
        1.1704132000         1.3965428462         3.3479150326         0.0299192959
        1.1754024000         1.4016475000         3.3530187875         0.1628939444
        1.1804297000         1.3888858657         3.3453631551        -0.1695426768
        1.1853912000         1.3888858657         3.3453631551        -0.1695426768
        1.1903944000         1.3990951731         3.3453631551         0.0964066201
        1.1953857000         1.4016475000         3.3530187875         0.1628939444
        1.2003918000         1.3914381925         3.3402594002        -0.1030553526
        1.2053784000         1.3914381925         3.3377075228        -0.1030553526
        1.2104056000         1.3939905194         3.3453631551        -0.0365680283
        1.2154338000         1.3965428462         3.3453631551         0.0299192959
        1.2204488000         1.3888858657         3.3402594002        -0.1695426768
        1.2255366000         1.3965428462         3.3453631551         0.0299192959
        1.2304228000         1.3914381925         3.3428112777        -0.1030553526
        1.2354109000         1.3965428462         3.3453631551         0.0299192959
        1.2404136000         1.3888858657         3.3428112777        -0.1695426768
        1.2453921000         1.3965428462         3.3453631551         0.0299192959
        1.2504065000         1.4016475000         3.3530187875         0.1628939444
        1.2553899000         1.3939905194         3.3453631551        -0.0365680283
        1.2603966000         1.3965428462         3.3479150326         0.0299192959
        1.2654026000         1.4016475000         3.3530187875         0.1628939444
        1.2703913000         1.3939905194         3.3453631551        -0.0365680283
        1.2754202000         1.3914381925         3.3402594002        -0.1030553526
        1.2803783000         1.4016475000         3.3530187875         0.1628939444
        1.2853894000         1.3965428462         3.3453631551         0.0299192959
        1.2904006000         1.3888858657         3.3402594002        -0.1695426768
        1.2954257000         1.3965428462         3.3453631551         0.0299192959
        1.3003915000         1.3914381925         3.3402594002        -0.1030553526
