% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        1.3003880000         1.3454963091         2.4700691867         0.1934781135
        1.3053911000         1.3506009628         2.4700691867         0.3264527620
        1.3104057000         1.3429439823         2.4700691867         0.1269907893
        1.3154092000         1.3378393285         2.4649654318        -0.0059838592
        1.3203935000         1.3327346748         2.4598616769        -0.1389585076
        1.3254076000         1.3378393285         2.4649654318        -0.0059838592
        1.3304156000         1.3454963091         2.4700691867         0.1934781135
        1.3353972000         1.3429439823         2.4700691867         0.1269907893
        1.3403853000         1.3429439823         2.4700691867         0.1269907893
        1.3454085000         1.3378393285         2.4649654318        -0.0059838592
        1.3503745000         1.3352870017         2.4649654318        -0.0724711834
        1.3554009000         1.3327346748         2.4573097994        -0.1389585076
        1.3603860000         1.3352870017         2.4649654318        -0.0724711834
        1.3653993000         1.3454963091         2.4700691867         0.1934781135
        1.3704049000         1.3352870017         2.4649654318        -0.0724711834
        1.3756113000         1.3378393285         2.4649654318        -0.0059838592
        1.3803937000         1.3327346748         2.4573097994        -0.1389585076
        1.3853863000         1.3327346748         2.4598616769        -0.1389585076
        1.3903830000         1.3378393285         2.4649654318        -0.0059838592
        1.3953990000         1.3429439823         2.4700691867         0.1269907893
        1.4003803000         1.3454963091         2.4726210642         0.1934781135
        1.4054172000         1.3403916554         2.4649654318         0.0605034650
        1.4104245000         1.3327346748         2.4598616769        -0.1389585076
        1.4154443000         1.3531532897         2.4700691867         0.3929400862
        1.4204426000         1.3378393285         2.4649654318        -0.0059838592
        1.4254462000         1.3429439823         2.4700691867         0.1269907893
        1.4304145000         1.3327346748         2.4598616769        -0.1389585076
        1.4354169000         1.3454963091         2.4700691867         0.1934781135
        1.4404237000         1.3352870017         2.4624135543        -0.0724711834
        1.4453937000         1.3378393285         2.4649654318        -0.0059838592
        1.4504020000         1.3378393285         2.4649654318        -0.0059838592
        1.4554348000         1.3378393285         2.4649654318        -0.0059838592
        1.4604175000         1.3429439823         2.4726210642         0.1269907893
        1.4654022000         1.3327346748         2.4573097994        -0.1389585076
        1.4704046000         1.3378393285         2.4649654318        -0.0059838592
        1.4754142000         1.3378393285         2.4649654318        -0.0059838592
        1.4804688000         1.3301823480         2.4598616769        -0.2054458319
        1.4854422000         1.3480486360         2.4649654318         0.2599654377
        1.4904221000         1.3378393285         2.4726210642        -0.0059838592
        1.4953973000         1.3429439823         2.4700691867         0.1269907893
        1.5004017000         1.3352870017         2.4624135543        -0.0724711834
        1.5054117000         1.3327346748         2.4573097994        -0.1389585076
        1.5103808000         1.3378393285         2.4624135543        -0.0059838592
        1.5153835000         1.3378393285         2.4675173092        -0.0059838592
        1.5203978000         1.3378393285         2.4624135543        -0.0059838592
        1.5255183000         1.3403916554         2.4649654318         0.0605034650
        1.5304085000         1.3378393285         2.4649654318        -0.0059838592
        1.5354215000         1.3327346748         2.4598616769        -0.1389585076
        1.5403809000         1.3378393285         2.4649654318        -0.0059838592
        1.5454814000         1.3378393285         2.4649654318        -0.0059838592
        1.5504170000         1.3378393285         2.4649654318        -0.0059838592
        1.5554284000         1.3403916554         2.4649654318         0.0605034650
        1.5604140000         1.3301823480         2.4598616769        -0.2054458319
        1.5654206000         1.3378393285         2.4649654318        -0.0059838592
        1.5704335000         1.3429439823         2.4700691867         0.1269907893
        1.5754149000         1.3454963091         2.4700691867         0.1934781135
        1.5803633000         1.3454963091         2.4726210642         0.1934781135
        1.5853980000         1.3327346748         2.4598616769        -0.1389585076
        1.5903870000         1.3327346748         2.4598616769        -0.1389585076
        1.5953911000         1.3327346748         2.4598616769        -0.1389585076
        1.6004140000         1.3378393285         2.4649654318        -0.0059838592
        1.6054162000         1.3378393285         2.4649654318        -0.0059838592
        1.6104194000         1.3301823480         2.4598616769        -0.2054458319
        1.6154444000         1.3403916554         2.4649654318         0.0605034650
        1.6204456000         1.3429439823         2.4700691867         0.1269907893
        1.6254065000         1.3378393285         2.4649654318        -0.0059838592
        1.6304093000         1.3301823480         2.4598616769        -0.2054458319
        1.6354172000         1.3378393285         2.4649654318        -0.0059838592
        1.6404067000         1.3352870017         2.4700691867        -0.0724711834
        1.6454123000         1.3352870017         2.4649654318        -0.0724711834
        1.6503900000         1.3352870017         2.4649654318        -0.0724711834
        1.6553981000         1.3301823480         2.4573097994        -0.2054458319
        1.6603898000         1.3301823480         2.4598616769        -0.2054458319
        1.6653976000         1.3378393285         2.4649654318        -0.0059838592
        1.6703782000         1.3378393285         2.4624135543        -0.0059838592
        1.6753765000         1.3327346748         2.4598616769        -0.1389585076
        1.6804060000         1.3352870017         2.4649654318        -0.0724711834
        1.6854540000         1.3429439823         2.4726210642         0.1269907893
        1.6904532000         1.3429439823         2.4700691867         0.1269907893
        1.6954412000         1.3327346748         2.4598616769        -0.1389585076
        1.7004086000         1.3403916554         2.4649654318         0.0605034650
        1.7053868000         1.3327346748         2.4573097994        -0.1389585076
        1.7105755000         1.3378393285         2.4649654318        -0.0059838592
        1.7153791000         1.3352870017         2.4649654318        -0.0724711834
        1.7203899000         1.3454963091         2.4700691867         0.1934781135
        1.7254219000         1.3301823480         2.4598616769        -0.2054458319
        1.7303860000         1.3378393285         2.4649654318        -0.0059838592
        1.7353969000         1.3352870017         2.4598616769        -0.0724711834
        1.7403788000         1.3327346748         2.4598616769        -0.1389585076
        1.7453870000         1.3378393285         2.4649654318        -0.0059838592
        1.7503953000         1.3378393285         2.4649654318        -0.0059838592
        1.7554047000         1.3378393285         2.4649654318        -0.0059838592
        1.7604520000         1.3454963091         2.4700691867         0.1934781135
        1.7654011000         1.3378393285         2.4649654318        -0.0059838592
        1.7703854000         1.3378393285         2.4649654318        -0.0059838592
        1.7753874000         1.3301823480         2.4598616769        -0.2054458319
        1.7804230000         1.3429439823         2.4675173092         0.1269907893
        1.7860471000         1.3429439823         2.4675173092         0.1269907893
        1.7903973000         1.3378393285         2.4649654318        -0.0059838592
        1.7954008000         1.3378393285         2.4649654318        -0.0059838592
        1.8004099000         1.3429439823         2.4726210642         0.1269907893
        1.8053878000         1.3352870017         2.4649654318        -0.0724711834
        1.8104038000         1.3327346748         2.4598616769        -0.1389585076
        1.8153872000         1.3327346748         2.4598616769        -0.1389585076
        1.8204188000         1.3378393285         2.4649654318        -0.0059838592
        1.8254108000         1.3403916554         2.4700691867         0.0605034650
        1.8304027000         1.3378393285         2.4649654318        -0.0059838592
        1.8353887000         1.3403916554         2.4624135543         0.0605034650
        1.8404023000         1.3480486360         2.4598616769         0.2599654377
        1.8453855000         1.3301823480         2.4598616769        -0.2054458319
        1.8504189000         1.3378393285         2.4649654318        -0.0059838592
        1.8554251000         1.3454963091         2.4700691867         0.1934781135
        1.8604384000         1.3327346748         2.4598616769        -0.1389585076
        1.8654122000         1.3378393285         2.4649654318        -0.0059838592
        1.8704231000         1.3378393285         2.4649654318        -0.0059838592
        1.8754256000         1.3327346748         2.4598616769        -0.1389585076
        1.8804231000         1.3429439823         2.4700691867         0.1269907893
        1.8853995000         1.3378393285         2.4649654318        -0.0059838592
        1.8904098000         1.3378393285         2.4649654318        -0.0059838592
        1.8954338000         1.3352870017         2.4649654318        -0.0724711834
        1.9004401000         1.3378393285         2.4649654318        -0.0059838592
        1.9054404000         1.3352870017         2.4726210642        -0.0724711834
        1.9103901000         1.3327346748         2.4598616769        -0.1389585076
