% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.8554654000       469.2278379418         3.2616152995         1.6900604347         3.2739105863       524.0460358292       510.2731705355       -24.0460358292         1.3942737988
        0.8605214000       519.2490675560         3.3253828218         1.6645371662         3.2994293609       485.9516051362       507.7514275756        14.0483948638         1.4070297842
        0.8654618000       500.1053212001         3.3006362126         1.6747464736         3.3326037679       501.1893774134       500.9713170550        -1.1893774134         1.4044785871
        0.8704446000       483.4586247771         3.2794670037         1.6824034542         3.3734338072       512.6177066213       503.8075995137       -12.6177066213         1.3993761929
        0.8754364000       491.9386281807         3.2902112639         1.6772988005         3.3964007043       504.9988204827       506.1984892361        -4.9988204827         1.4019273900
        0.8804442000       490.9628434260         3.2889707891         1.6772988005         3.4423344986       504.9988204827       505.6249102732        -4.9988204827         1.4019273900
        0.8854572000       506.4015850552         3.3087267247         1.6696418199         3.4653013957       493.5704912748       502.5935430482         6.4295087252         1.3968249959
        0.8904318000       485.7706092684         3.2823882855         1.6798511273         3.5035795576       508.8082635520       501.9221911719        -8.8082635520         1.3866202076
        0.8954563000       522.3517713605         3.3294355991         1.6619848393         3.5265464547       482.1421620669       498.8397976759        17.8578379331         1.3968249959
        0.9004536000       482.0656045417         3.2777097452         1.6824034542         3.5775840039       512.6177066213       498.1418159260       -12.6177066213         1.3942737988
        0.9054794000       474.1310815615         3.2677412994         1.6849557810         3.6133102883       516.4271496906       505.9736232875       -16.4271496906         1.3942737988
        0.9104507000       481.8674702497         3.2774599789         1.6798511273         3.6362771855       508.8082635520       509.1502555179        -8.8082635520         1.3917226017
        0.9154873000       491.0910883687         3.2891337596         1.6747464736         3.6796591023       501.1893774134       507.1653944509        -1.1893774134         1.3840690105
        0.9204439000       441.6153391780         3.2275822120         1.6977174153         3.7051778769       535.4743650372       512.5042483213       -35.4743650372         1.3942737988
        0.9254629000       489.4057246458         3.2869935341         1.6721941467         3.7485597937       497.3799343441       514.3798441410         2.6200656559         1.3993761929
        0.9304453000       478.9741517328         3.2738176303         1.6772988005         3.7715266908       504.9988204827       508.0732914329        -4.9988204827         1.3942737988
        0.9354752000       488.9413845673         3.2864044403         1.6721941467         3.8098048527       497.3799343441       504.7819926868         2.6200656559         1.3942737988
        0.9404797000       516.8103732166         3.3222057257         1.6594325125         3.8378755047       478.3327189975       496.6895872357        21.6672810025         1.3993761929
        0.9455066000       482.7393299079         3.2785593628         1.6772988005         3.8710499117       504.9988204827       494.2876275109        -4.9988204827         1.3942737988
        0.9504552000       514.5925979208         3.3193227741         1.6619848393         3.9016724412       482.1421620669       493.9447543158        17.8578379331         1.3917226017
        0.9554505000       523.5500102535         3.3310039506         1.6594325125         3.9373987256       478.3327189975       487.3910895632        21.6672810025         1.4019273900
        0.9604418000       484.0074581502         3.2801599355         1.6798511273         3.9705731326       508.8082635520       490.3455507967        -8.8082635520         1.3917226017
        0.9654580000       493.2310762692         3.2918559754         1.6747464736         4.0088512945       501.1893774134       497.3514907326        -1.1893774134         1.4044785871
        0.9705274000       487.5273974354         3.2846120614         1.6772988005         4.0496813338       504.9988204827       500.0971146851        -4.9988204827         1.3968249959
        0.9754631000       481.0801038861         3.2764678619         1.6798511273         4.0777519859       508.8082635520       503.3513659266        -8.8082635520         1.4044785871
        0.9805003000       506.7182483890         3.3091348686         1.6670894930         4.1058226379       489.7610482055       501.4070131001        10.2389517945         1.3917226017
        0.9854707000       410.2297641932         3.1897864762         1.7130313764         4.1389970449       558.3310234530       512.2310569379       -58.3310234530         1.4019273900
        0.9904558000       475.4444965466         3.2693866458         1.6772988005         4.1772752068       504.9988204827       521.5226685740        -4.9988204827         1.3993761929
        0.9954429000       463.5256942027         3.2545233048         1.6824034542         4.2206571236       512.6177066213       515.4437278452       -12.6177066213         1.3917226017
        1.0006180000       477.4772064009         3.2719367649         1.6747464736         4.2538315306       501.1893774134       511.3605416189        -1.1893774134         1.3968249959
        1.0054841000       488.1880539509         3.2854492326         1.6696418199         4.2819021826       493.5704912748       504.6762112999         6.4295087252         1.3942737988
