% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339728V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.3604524000       479.9083676430         3.2749926897         1.6772988005         5.0015316260       503.8369403466       505.3410986552        -5.3410986552         1.3917226017
        0.3654644000       482.9252920540         3.2787939637         1.6696418199         4.8892490178       492.4086111386       501.8899141860        -1.8899141860         1.4019273900
        0.3704505000       483.6281469929         3.2796809988         1.6798511273         1.1073666236       507.6463834159       500.9994657552        -0.9994657552         1.4044785871
        0.3754322000       479.9765730982         3.2750785164         1.6798511273         0.0024036839       507.6463834159       504.1774531182        -4.1774531182         1.3866202076
        0.3804414000       478.5353718379         3.2732660626         1.6772988005        -0.0001481936       503.8369403466       504.9253239263        -4.9253239263         1.3891714046
        0.3854453000       481.3944815298         3.2768639096         1.6696418199        -0.0052519485       492.4086111386       501.6729273617        -1.6729273617         1.3942737988
        0.3904351000       485.0273076759         3.2814484433         1.6721941467        -0.0052519485       496.2180542079       498.1541988155         1.8458011845         1.3993761929
        0.3954424000       488.3286484095         3.2856274547         1.6670894930         0.0330262134       488.5991680693       495.4071503394         4.5928496606         1.3968249959
        0.4004497000       485.5667438158         3.2821304532         1.6849557810         0.0713043752       515.2652695545       498.5268798452         1.4731201548         1.3917226017
        0.4054370000       484.9930990469         3.2814052043         1.6645371662         0.0993750273       484.7897250000       499.2443467192         0.7556532808         1.3993761929
        0.4104447000       489.7123356841         3.2873826560         1.6721941467         0.1299975568       496.2180542079       495.0654078971         4.9345921029         1.3942737988
        0.4154358000       490.8371598858         3.2888110917         1.6696418199         0.1631719638       492.4086111386       494.7058298672         5.2941701328         1.3942737988
        0.4204409000       495.8419430674         3.2951843009         1.6619848393         0.1937944933       480.9802819307       490.8754717537         9.1245282463         1.4019273900
        0.4254324000       502.4051778916         3.3035860359         1.6619848393         0.2269689002       480.9802819307       486.1444385413        13.8555614587         1.3917226017
        0.4304383000       505.1644430007         3.3071333305         1.6670894930         0.2652470621       488.5991680693       485.4967304254        14.5032695746         1.3993761929
        0.4354408000       504.6655265048         3.3064912588         1.6696418199         0.3060771015       492.4086111386       487.8907255682        12.1092744318         1.3917226017
        0.4404813000       508.0876260228         3.3109012229         1.6594325125         0.3264921211       477.1708388614       486.4080923957        13.5919076043         1.3993761929
        0.4454340000       506.9305224191         3.3094085332         1.6798511273         0.3673221605       507.6463834159       489.2770270975        10.7229729025         1.3942737988
        0.4504367000       501.8418201380         3.3028628918         1.6721941467         0.4004965675       496.2180542079       495.3276570885         4.6723429115         1.3968249959
        0.4554408000       503.0661857009         3.3044350037         1.6696418199         0.4311190970       492.4086111386       494.8426939314         5.1573060686         1.3993761929
        0.4604406000       506.1146964614         3.3083570603         1.6670894930         0.4693972588       488.5991680693       492.7682488988         7.2317511012         1.4044785871
        0.4654526000       502.3511497266         3.3035166674         1.6849557810         0.5102272982       515.2652695545       497.1496753082         2.8503246918         1.3993761929
        0.4704316000       501.2547623952         3.3021097229         1.6645371662         0.5382979502       484.7897250000       498.5256035681         1.4743964319         1.4095809812
        0.4754434000       510.7217412898         3.3143052785         1.6594325125         0.5689204797       477.1708388614       490.1369318121         9.8630681879         1.4070297842
        0.4804356000       516.0005392879         3.3211523013         1.6670894930         0.5995430093       488.5991680693       486.6696800993        13.3303199007         1.3968249959
        0.4854423000       518.9591692049         3.3250047628         1.6619848393         0.6429249261       480.9802819307       485.7708464062        14.2291535938         1.3917226017
        0.4904273000       518.5642983220         3.3244899750         1.6747464736         0.6760993330       500.0274972773       488.0337827384        11.9662172616         1.3993761929
        0.4954435000       513.0037004547         3.3172610085         1.6772988005         0.7092737400       503.8369403466       494.6788258189         5.3211741811         1.3917226017
        0.5004501000       511.9735689095         3.3159259401         1.6696418199         0.7322406371       492.4086111386       496.3254280329         3.6745719671         1.3968249959
        0.5054557000       513.5766562427         3.3180041263         1.6721941467         0.7781744314       496.2180542079       495.3634161723         4.6365838277         1.3993761929
        0.5104432000       509.7940407556         3.3131054635         1.6824034542         0.8062450834       511.4558264852       499.4147304989         0.5852695011         1.3942737988
        0.5154726000       507.5491739293         3.3102064084         1.6721941467         0.8419713679       496.2180542079       501.5290529157        -1.5290529157         1.3968249959
        0.5204326000       506.1068359130         3.3083469332         1.6824034542         0.8776976523       511.4558264852       502.6324872390        -2.6324872390         1.3942737988
        0.5254475000       506.0874368980         3.3083219407         1.6696418199         0.9032164269       492.4086111386       502.2976787871        -2.2976787871         1.3942737988
        0.5304306000       510.9615094080         3.3146155445         1.6696418199         0.9363908338       492.4086111386       497.5695726748         2.4304273252         1.3993761929
        0.5354700000       514.0409448553         3.3186065967         1.6696418199         0.9670133634       492.4086111386       495.1020424028         4.8979575972         1.3942737988
        0.5404480000       517.1878959570         3.3226970786         1.6670894930         0.9976358929       488.5991680693       492.9035991192         7.0964008808         1.3993761929
        0.5454302000       517.4921670529         3.3230932203         1.6747464736         1.0359140547       500.0274972773       493.5776130981         6.4223869019         1.3993761929
        0.5504529000       516.0440505649         3.3212088800         1.6721941467         1.0665365843       496.2180542079       495.7507210234         4.2492789766         1.3993761929
        0.5554499000       516.4248867856         3.3217041884         1.6721941467         1.0997109912       496.2180542079       495.9741597706         4.0258402294         1.3968249959
        0.5604323000       514.8823115512         3.3196990401         1.6772988005         1.1405410306       503.8369403466       497.9121189920         2.0878810080         1.4019273900
        0.5654411000       507.0465476602         3.3095581362         1.6900604347         1.1686116826       522.8841556931       505.2982360971        -5.2982360971         1.3968249959
        0.5704372000       505.0266487736         3.3069559691         1.6696418199         1.1992342121       492.4086111386       506.4209192544        -6.4209192544         1.3891714046
        0.5754592000       508.4534383658         3.3113734623         1.6772988005         1.2273048642       503.8369403466       502.4534569563        -2.4534569563         1.3942737988
        0.5804432000       514.3907500699         3.3190606844         1.6594325125         1.2655830261       477.1708388614       496.7401961671         3.2598038329         1.3968249959
        0.5854407000       521.1718240999         3.3278929356         1.6696418199         1.2911018006       492.4086111386       491.0265032510         8.9734967490         1.3968249959
        0.5904422000       521.7677207662         3.3286717949         1.6696418199         1.3217243302       492.4086111386       491.6873089997         8.3126910003         1.4019273900
        0.5955118000       522.6144380485         3.3297792453         1.6696418199         1.3600024920       492.4086111386       492.0321739731         7.9678260269         1.3866202076
        0.6004721000       521.5838333673         3.3284314001         1.6747464736         1.4008325314       500.0274972773       494.0335037877         5.9664962123         1.3917226017
        0.6054494000       516.2923150884         3.3215317480         1.6824034542         1.4314550609       511.4558264852       499.6313433226         0.3686566774         1.3942737988
        0.6104335000       513.1255567158         3.3174190214         1.6747464736         1.4595257129       500.0274972773       502.5527749026        -2.5527749026         1.3968249959
        0.6154635000       518.0964555094         3.3238803032         1.6645371662         1.4927001199       484.7897250000       497.7027036521         2.2972963479         1.4044785871
        0.6204329000       519.2182015759         3.3253425643         1.6798511273         1.5258745269       507.6463834159       496.9928713038         3.0071286962         1.3866202076
        0.6254556000       519.0664072958         3.3251446009         1.6670894930         1.5539451789       488.5991680693       497.5330949400         2.4669050600         1.3891714046
        0.6304517000       518.1155537289         3.3239051859         1.6824034542         1.5973270957       511.4558264852       498.7257047346         1.2742952654         1.3840690105
        0.6354798000       511.5927116372         3.3154326680         1.6824034542         1.6228458703       511.4558264852       504.8121598584        -4.8121598584         1.3917226017
        0.6404835000       504.3677597901         3.3061081939         1.6900604347         1.6585721547       522.8841556931       510.7206175062       -10.7206175062         1.3968249959
        0.6454608000       503.4019117368         3.3048663921         1.6721941467         1.6891946843       496.2180542079       510.1614566571       -10.1614566571         1.4019273900
        0.6504586000       509.2525998714         3.3124056851         1.6721941467         1.7249209687       496.2180542079       503.4949145027        -3.4949145027         1.3891714046
        0.6554527000       513.5769937559         3.3180045642         1.6696418199         1.7504397433       492.4086111386       499.1050675817         0.8949324183         1.3993761929
        0.6604520000       510.2104780328         3.3136439225         1.6875081079         1.7989254150       519.0747126238       502.2781191967        -2.2781191967         1.3993761929
        0.6654357000       502.0236858248         3.3030962996         1.6849557810         1.8295479445       515.2652695545       509.3981382946        -9.3981382946         1.4044785871
        0.6704811000       504.5723104219         3.3063713287         1.6670894930         1.8499629642       488.5991680693       505.8285743281        -5.8285743281         1.4044785871
        0.6754481000       508.7783757348         3.3117930694         1.6772988005         1.8856892486       503.8369403466       501.2336458134        -1.2336458134         1.3917226017
        0.6804577000       509.2321322997         3.3123792389         1.6721941467         1.9214155330       496.2180542079       500.6569687728        -0.6569687728         1.3993761929
