% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338069V  K_gimbal=26.049690  samples=6753

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        8.3155378000      -145.2154845168         2.0784726798         1.3250776943         3.8531867695        -0.3384204803         0.3384204803         1.3228402807
        8.3206215000      -180.1561348725         2.0326678370         1.3480486360         3.8429792597         0.2599654377        -0.2599654377         1.3279426748
        8.3263464000      -157.1528790495         2.0625252440         1.3327346748         3.8225642400        -0.1389585076         0.1389585076         1.3177378865
        8.3314132000      -181.1794835829         2.0313639815         1.3480486360         3.8098048527         0.2599654377        -0.2599654377         1.3304938719
        8.3356858000      -141.3750486187         2.0836752442         1.3225253674         3.7893898330        -0.4049078045         0.4049078045         1.3279426748
        8.3404864000      -184.1540090338         2.0275851077         1.3506009628         3.7842860781         0.3264527620        -0.3264527620         1.3330450690
        8.3454761000      -153.3124431513         2.0676197929         1.3301823480         3.7766304457        -0.2054458319         0.2054458319         1.3228402807
        8.3504870000      -168.3761786030         2.0478221706         1.3403916554         3.7485597937         0.0605034650        -0.0605034650         1.3355962660
        8.3554856000      -147.8863790317         2.0748755786         1.3276300211         3.7409041613        -0.2719331561         0.2719331561         1.3253914777
        8.3605466000      -170.7884245427         2.0446965487         1.3429439823         3.7255928965         0.1269907893        -0.1269907893         1.3202890836
        8.3655860000      -146.6606096972         2.0765242926         1.3276300211         3.7051778769        -0.2719331561         0.2719331561         1.3304938719
        8.3709100000      -161.1620656377         2.0572419172         1.3378393285         3.7000741219        -0.0059838592         0.0059838592         1.3304938719
        8.3755903000      -165.3117552670         2.0518101059         1.3403916554         3.6873147347         0.0605034650        -0.0605034650         1.3304938719
        8.3805357000      -174.2240191927         2.0402651508         1.3454963091         3.6720034699         0.1934781135        -0.1934781135         1.3253914777
        8.3858600000      -142.2578942879         2.0824760613         1.3250776943         3.6464846953        -0.3384204803         0.3384204803         1.3304938719
        8.3909475000      -160.3973655024         2.0582469237         1.3378393285         3.6362771855        -0.0059838592         0.0059838592         1.3406986602
        8.3958084000      -151.9461707758         2.0694403310         1.3327346748         3.6209659207        -0.1389585076         0.1389585076         1.3330450690
        8.4005487000      -171.7724805239         2.0434248597         1.3454963091         3.6133102883         0.1934781135        -0.1934781135         1.3253914777
        8.4055442000      -152.4072399750         2.0688254823         1.3327346748         3.5903433912        -0.1389585076         0.1389585076         1.3381474631
        8.4107795000      -155.4323705819         2.0648034721         1.3352870017         3.5877915138        -0.0724711834         0.0724711834         1.3304938719
        8.4154763000      -171.6206650559         2.0436209230         1.3454963091         3.5750321265         0.1934781135        -0.1934781135         1.3355962660
        8.4204734000      -131.2539505805         2.0975639825         1.3199730405         3.5495133519        -0.4713951288         0.4713951288         1.3432498573
        8.4254923000      -152.4691575579         2.0687429508         1.3352870017         3.5418577195        -0.0724711834         0.0724711834         1.3330450690
        8.4305012000      -135.0550937495         2.0923169338         1.3250776943         3.5214426998        -0.3384204803         0.3384204803         1.3406986602
        8.4358178000      -161.5951545346         2.0566732930         1.3429439823         3.5163389449         0.1269907893        -0.1269907893         1.3534546456
        8.4406926000      -112.2655709774         2.1243668715         1.3123160600         3.4933720478        -0.6708571014         0.6708571014         1.3458010543
        8.4459323000      -156.9957081331         2.0627330882         1.3429439823         3.4882682929         0.1269907893        -0.1269907893         1.3534546456
        8.4509514000      -120.2670089317         2.1129487006         1.3199730405         3.4806126605        -0.4713951288         0.4713951288         1.3458010543
        8.4558304000      -133.0816263386         2.0950363602         1.3301823480         3.4550938859        -0.2054458319         0.2054458319         1.3560058426
        8.4614690000      -114.5430035078         2.1210979693         1.3199730405         3.4423344986        -0.4713951288         0.4713951288         1.3483522514
        8.4660091000      -131.5579156999         2.0971429968         1.3327346748         3.4346788662        -0.1389585076         0.1389585076         1.3458010543
        8.4706855000      -113.5815723803         2.1224760896         1.3225253674         3.4219194789        -0.4049078045         0.4049078045         1.3458010543
        8.4762886000      -126.9584692983         2.1035395320         1.3327346748         3.4168157240        -0.1389585076         0.1389585076         1.3534546456
        8.4809174000      -125.7833051200         2.1051830225         1.3327346748         3.4040563367        -0.1389585076         0.1389585076         1.3560058426
        8.4859361000      -103.6066670151         2.1369376991         1.3199730405         3.3810894396        -0.4713951288         0.4713951288         1.3560058426
        8.4907470000      -120.6215792072         2.1124469845         1.3327346748         3.3734338072        -0.1389585076         0.1389585076         1.3636594339
        8.4960138000      -140.4478889553         2.0849367034         1.3454963091         3.3632262974         0.1934781135        -0.1934781135         1.3534546456
        8.5004893000       -95.8808796946         2.1483508706         1.3174207137         3.3428112777        -0.5378824530         0.5378824530         1.3687618280
        8.5054737000      -129.1346915167         2.1005059441         1.3403916554         3.3453631551         0.0605034650        -0.0605034650         1.3713130251
        8.5104705000       -96.0440075895         2.1481079064         1.3199730405         3.3275000129        -0.4713951288         0.4713951288         1.3687618280
        8.5154690000      -113.0589197816         2.1232264044         1.3327346748         3.3198443806        -0.1389585076         0.1389585076         1.3687618280
