% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=4545

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.8454302000        35.7018739199         2.7654488912         1.3710195777         3.8633942793        48.1704076114         1.8295923886         1.4044785871
        0.8504385000        40.1722192861         2.7707494564         1.3684672508         3.8633942793        44.3609645421         5.6390354579         1.4070297842
        0.8554194000        41.0045493782         2.7717343061         1.3684672508         3.8633942793        44.3609645421         5.6390354579         1.3993761929
        0.8604557000        37.6365846851         2.7677452145         1.3710195777         3.8736017892        48.1704076114         1.8295923886         1.4070297842
        0.8654357000        50.5075196219         2.7829342238         1.3633625971         3.8684980342        36.7420784035        13.2579215965         1.3968249959
        0.8704310000        31.4629348100         2.7604051541         1.3761242314         3.8787055441        55.7892937500        -5.7892937500         1.3942737988
        0.8754288000        34.8087211538         2.7643876022         1.3735719045         3.8812574215        51.9798506807        -1.9798506807         1.3917226017
        0.8804976000        34.5164922236         2.7640401956         1.3735719045         3.8863611765        51.9798506807        -1.9798506807         1.4044785871
        0.8854529000        30.0239685080         2.7586890235         1.3761242314         3.8914649314        55.7892937500        -5.7892937500         1.3917226017
        0.8904496000        24.9691652813         2.7526443302         1.3786765582         3.8965686863        59.5987368193        -9.5987368193         1.3968249959
        0.8954477000        23.5523773287         2.7509454765         1.3786765582         3.9042243187        59.5987368193        -9.5987368193         1.3993761929
        0.9004339000        30.5361789466         2.7593001253         1.3735719045         3.8991205638        51.9798506807        -1.9798506807         1.4044785871
        0.9054193000        47.0451291576         2.7788628753         1.3633625971         3.8991205638        36.7420784035        13.2579215965         1.3993761929
        0.9104278000        36.4011339162         2.7662792571         1.3710195777         3.9093280736        48.1704076114         1.8295923886         1.3917226017
        0.9154479000        24.0703001413         2.7515667486         1.3786765582         3.9169837060        59.5987368193        -9.5987368193         1.3917226017
        0.9204489000        22.6535121886         2.7498665957         1.3786765582         3.9195355834        59.5987368193        -9.5987368193         1.3942737988
        0.9254364000        42.2381981625         2.7731928412         1.3659149240         3.9118799510        40.5515214728         9.4484785272         1.3968249959
        0.9304443000        35.2322181952         2.7648909175         1.3710195777         3.9144318285        48.1704076114         1.8295923886         1.3968249959
        0.9354298000        22.9013844203         2.7501641920         1.3786765582         3.9297430933        59.5987368193        -9.5987368193         1.3968249959
        0.9404367000        34.0854808235         2.7635276528         1.3710195777         3.9348468482        48.1704076114         1.8295923886         1.3993761929
        0.9454175000        42.7561209751         2.7738047629         1.3659149240         3.9399506031        40.5515214728         9.4484785272         1.4019273900
        0.9504563000        44.1507305784         2.7754512704         1.3659149240         3.9271912158        40.5515214728         9.4484785272         1.3993761929
        0.9554347000        32.9444558259         2.7621699251         1.3735719045         3.9425024806        51.9798506807        -1.9798506807         1.3993761929
        0.9604495000        32.6522268956         2.7618219940         1.3735719045         3.9450543580        51.9798506807        -1.9798506807         1.3993761929
        0.9654350000        53.3614718919         2.7862823001         1.3608102703         3.9425024806        32.9326353342        17.0673646658         1.4019273900
        0.9704299000        43.2797561617         2.7744231853         1.3684672508         3.9476062355        44.3609645421         5.6390354579         1.3968249959
        0.9754289000        39.9117914685         2.7704411751         1.3710195777         3.9501581129        48.1704076114         1.8295923886         1.3942737988
        0.9804523000        48.5824316201         2.7806718530         1.3659149240         3.9476062355        40.5515214728         9.4484785272         1.3968249959
        0.9854460000        33.1758620822         2.7624453814         1.3761242314         3.9578137453        55.7892937500        -5.7892937500         1.3917226017
        0.9904418000        44.9222379967         2.7763613739         1.3684672508         3.9629175002        44.3609645421         5.6390354579         1.3993761929
        0.9954419000        41.5542733035         2.7723844137         1.3710195777         3.9629175002        48.1704076114         1.8295923886         1.3942737988
        1.0004275000        33.4237343139         2.7627403807         1.3761242314         3.9654693777        55.7892937500        -5.7892937500         1.3840690105
        1.0054498000        40.9698154430         2.7716932202         1.3710195777         3.9680212551        48.1704076114         1.8295923886         1.3891714046
        1.0104388000        53.8407503799         2.7868438763         1.3633625971         3.9654693777        36.7420784035        13.2579215965         1.3917226017
        1.0154660000        51.5973447091         2.7842135638         1.3659149240         3.9705731326        40.5515214728         9.4484785272         1.3891714046
        1.0204348000        27.7901856006         2.7560209406         1.3812288851         3.9782287650        63.4081798886       -13.4081798886         1.3917226017
        1.0254552000        38.4120024927         2.7686645737         1.3735719045         3.9833325199        51.9798506807        -1.9798506807         1.3917226017
        1.0304364000        33.9194787772         2.7633302017         1.3761242314         3.9935400297        55.7892937500        -5.7892937500         1.3993761929
        1.0354480000        37.2652651210         2.7673047667         1.3735719045         3.9935400297        51.9798506807        -1.9798506807         1.3942737988
        1.0404543000        45.3736257614         2.7768936022         1.3684672508         3.9909881523        44.3609645421         5.6390354579         1.3942737988
        1.0454341000        33.6050714976         2.7629561574         1.3761242314         3.9960919072        55.7892937500        -5.7892937500         1.3917226017
        1.0504484000        45.3514474121         2.7768674562         1.3684672508         3.9960919072        44.3609645421         5.6390354579         1.3993761929
        1.0554278000        50.3840722895         2.7827892449         1.3659149240         4.0011956621        40.5515214728         9.4484785272         1.3840690105
        1.0604431000        39.1777975369         2.7695719714         1.3735719045         4.0062994170        51.9798506807        -1.9798506807         1.3840690105
        1.0654324000        26.2846842508         2.7542199317         1.3812288851         4.0165069269        63.4081798886       -13.4081798886         1.3968249959
        1.0704372000        57.9079750694         2.7916017136         1.3608102703         4.0114031719        32.9326353342        17.0673646658         1.3917226017
        1.0754516000        39.4256697686         2.7698655605         1.3735719045         4.0165069269        51.9798506807        -1.9798506807         1.3917226017
        1.0804267000        43.3337356237         2.7744869218         1.3710195777         4.0241625592        48.1704076114         1.8295923886         1.3968249959
        1.0854422000        43.6037862046         2.7748057458         1.3710195777         4.0292663142        48.1704076114         1.8295923886         1.3968249959
        1.0904259000        39.6735420002         2.7701590923         1.3735719045         4.0267144367        51.9798506807        -1.9798506807         1.4044785871
        1.0954438000        47.7819026406         2.7797301131         1.3684672508         4.0267144367        44.3609645421         5.6390354579         1.3917226017
        1.1004476000        44.4139379474         2.7757618215         1.3710195777         4.0318181916        48.1704076114         1.8295923886         1.3942737988
        1.1054335000        27.8828093872         2.7561316711         1.3812288851         4.0445775789        63.4081798886       -13.4081798886         1.3866202076
        1.1104366000        34.3043314940         2.7637879242         1.3761242314         4.0471294564        55.7892937500        -5.7892937500         1.3891714046
        1.1154509000        33.4498230525         2.7627714262         1.3761242314         4.0547850888        55.7892937500        -5.7892937500         1.3866202076
        1.1204391000        36.7956093964         2.7667474893         1.3735719045         4.0471294564        51.9798506807        -1.9798506807         1.4044785871
        1.1254516000        36.5033804661         2.7664006353         1.3735719045         4.0547850888        51.9798506807        -1.9798506807         1.4044785871
        1.1304545000        40.4114463212         2.7710325859         1.3710195777         4.0547850888        48.1704076114         1.8295923886         1.4019273900
        1.1354583000        53.2823812580         2.7861896099         1.3633625971         4.0522332113        36.7420784035        13.2579215965         1.3993761929
        1.1404190000        46.8386808020         2.7786197838         1.3684672508         4.0598888437        44.3609645421         5.6390354579         1.4044785871
