% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338516V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.8404475000       516.7822404895         3.3221691175         1.6696418199         1.7019540715       494.2180965966        -1.0095024134         5.7819034034         1.3993761929
        0.8454593000       521.8359528900         3.3287610049         1.6670894930         1.7351284785       490.4086535272        -1.0095024134         9.5913464728         1.3993761929
        0.8504334000       510.6507656605         3.3142134475         1.6747464736         1.7708547629       501.8369827352        -1.0095024134        -1.8369827352         1.3968249959
        0.8554437000       506.1793294680         3.3084403333         1.6772988005         1.8065810474       505.6464258045        -1.0095024134        -5.6464258045         1.3942737988
        0.8604552000       509.5462033349         3.3127851054         1.6747464736         1.8397554543       501.8369827352        -1.0095024134        -1.8369827352         1.3942737988
        0.8654426000       500.8744723572         3.3016220438         1.6798511273         1.8780336162       509.4558688738        -1.0095024134        -9.4558688738         1.3917226017
        0.8704447000       495.2784771423         3.2944653313         1.6824034542         1.9112080232       513.2653119431        -1.0095024134       -13.2653119431         1.3942737988
        0.8754395000       518.5222659133         3.3244351892         1.6670894930         1.9341749203       490.4086535272        -1.0095024134         9.5913464728         1.3993761929
        0.8804463000       511.5373734691         3.3153610106         1.6721941467         1.9673493273       498.0275396659        -1.0095024134         1.9724603341         1.3942737988
        0.8854256000       499.2276272172         3.2995121066         1.6798511273         2.0005237343       509.4558688738        -1.0095024134        -9.4558688738         1.4044785871
        0.8904444000       502.0322215729         3.3031072554         1.6772988005         2.0362500187       505.6464258045        -1.0095024134        -5.6464258045         1.4070297842
        0.8954205000       530.6008641517         3.3402691729         1.6594325125         2.0617687933       478.9803243193        -1.0095024134        21.0196756807         1.4044785871
        0.9004327000       512.7019258851         3.3168697701         1.6721941467         2.0974950777       498.0275396659        -1.0095024134         1.9724603341         1.4019273900
        0.9054359000       517.1933587744         3.3227041898         1.6696418199         2.1332213621       494.2180965966        -1.0095024134         5.7819034034         1.4095809812
        0.9104607000       501.2455972485         3.3020979676         1.6798511273         2.1689476465       509.4558688738        -1.0095024134        -9.4558688738         1.4019273900
        0.9154356000       499.8498968189         3.3003089851         1.6798511273         2.1995701761       509.4558688738        -1.0095024134        -9.4558688738         1.3993761929
        0.9204814000       485.8533120334         3.2824928944         1.6875081079         2.2378483379       520.8841980817        -1.0095024134       -20.8841980817         1.3968249959
        0.9254363000       507.9725417821         3.3107526899         1.6721941467         2.2786783773       498.0275396659        -1.0095024134         1.9724603341         1.3968249959
        0.9304620000       508.2636798861         3.3111284767         1.6721941467         2.3041971519       498.0275396659        -1.0095024134         1.9724603341         1.3917226017
        0.9354519000       516.9554075607         3.3223944699         1.6670894930         2.3348196814       490.4086535272        -1.0095024134         9.5913464728         1.3993761929
        0.9404531000       505.7702203312         3.3079133222         1.6747464736         2.3654422109       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.9454431000       505.4990789240         3.3075641498         1.6747464736         2.4088241277       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.9504253000       509.4282323021         3.3126326403         1.6721941467         2.4445504121       498.0275396659        -1.0095024134         1.9724603341         1.3968249959
        0.9554375000       509.7193704061         3.3130089358         1.6721941467         2.4700691867       498.0275396659        -1.0095024134         1.9724603341         1.4019273900
        0.9604300000       518.4110980807         3.3242903016         1.6670894930         2.5032435937       490.4086535272        -1.0095024134         9.5913464728         1.3942737988
        0.9654559000       498.8253212806         3.2989971544         1.6798511273         2.5491773879       509.4558688738        -1.0095024134        -9.4558688738         1.4019273900
        0.9704456000       501.6299156363         3.3025909810         1.6772988005         2.5823517949       505.6464258045        -1.0095024134        -5.6464258045         1.3917226017
