% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.336563V  K_gimbal=26.049690  samples=2001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        9.1655293000        38.4741426456         2.7687382245         1.3301823480         4.9913241162        -0.1662183106         0.1662183106
        9.1704901000        35.6795466383         2.7654223701         1.3327346748         4.9938759937        -0.0997309863         0.0997309863
        9.1754563000        23.9220815492         2.7513889816         1.3403916554         5.0015316260         0.0997309863        -0.0997309863
        9.1804776000        23.0786622824         2.7503769938         1.3403916554         4.9964278711         0.0997309863        -0.0997309863
        9.1854834000        34.8361273715         2.7644201790         1.3327346748         4.9887722387        -0.0997309863         0.0997309863
        9.1904928000        35.6795466383         2.7654223701         1.3327346748         4.9938759937        -0.0997309863         0.0997309863
        9.1954699000        32.3226711198         2.7614295218         1.3352870017         4.9964278711        -0.0332436621         0.0332436621
        9.2005090000        32.6038108754         2.7617643413         1.3352870017         4.9964278711        -0.0332436621         0.0332436621
        9.2055726000        24.4843610604         2.7520632370         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.2106503000        23.6409417936         2.7510517331         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.2155143000        22.7975225268         2.7500395027         1.3403916554         5.0091872584         0.0997309863        -0.0997309863
        9.2205767000        38.7552824012         2.7690713970         1.3301823480         5.0066353810        -0.1662183106         0.1662183106
        9.2256272000        44.3612759645         2.7756996921         1.3276300211         4.9989797486        -0.2327056348         0.2327056348
        9.2305163000        16.9271907566         2.7102174918         1.3454963091         5.0142910133         0.2327056348        -0.2327056348
        9.2356368000        35.9606863939         2.7657562832         1.3327346748         5.0066353810        -0.0997309863         0.0997309863
        9.2405693000        49.4049900166         2.7816389225         1.3250776943         4.9989797486        -0.2991929590         0.2991929590
        9.2455482000        30.9337738905         2.7597743055         1.3378393285         5.0066353810         0.0332436621        -0.0332436621
        9.2505011000        30.6526341349         2.7594390283         1.3378393285         5.0091872584         0.0332436621        -0.0332436621
        9.2554829000        47.1726735205         2.7790130390         1.3276300211         4.9989797486        -0.2327056348         0.2327056348
        9.2606143000        32.3394726685         2.7614495336         1.3378393285         5.0066353810         0.0332436621        -0.0332436621
        9.2654713000        15.2571537717         2.6904022665         1.3480486360         5.0117391359         0.2991929590        -0.2991929590
        9.2704956000        42.1289594684         2.7730637453         1.3301823480         4.9989797486        -0.1662183106         0.1662183106
        9.2754705000        35.1340686758         2.7647742846         1.3352870017         5.0066353810        -0.0332436621         0.0332436621
        9.2805689000        18.6140292902         2.7302320700         1.3454963091         5.0168428908         0.2327056348        -0.2327056348
        9.2855185000        25.0466405716         2.7527371711         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.2904472000        41.0044004460         2.7717341300         1.3301823480         4.9989797486        -0.1662183106         0.1662183106
        9.2955025000        17.2083305122         2.7135532549         1.3454963091         5.0142910133         0.2327056348        -0.2327056348
        9.3005061000        23.6409417936         2.7510517331         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.3055343000        31.1981120974         2.7600894752         1.3352870017         5.0066353810        -0.0332436621         0.0332436621
        9.3104569000        31.4792518530         2.7604246024         1.3352870017         5.0015316260        -0.0332436621         0.0332436621
        9.3154686000        23.3598020380         2.7507144038         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.3204898000        18.3160879859         2.7266969542         1.3429439823         5.0066353810         0.1662183106        -0.1662183106
        9.3254868000        12.7100944227         2.6601810465         1.3454963091         5.0117391359         0.2327056348        -0.2327056348
        9.3304760000         2.3415265629         2.5371565202         1.3506009628         5.0091872584         0.3656802832        -0.3656802832
        9.3354598000        16.0501683925         2.6998114973         1.3403916554         5.0117391359         0.0997309863        -0.0997309863
        9.3406109000        44.6088126228         2.7759917084         1.3225253674         5.0015316260        -0.3656802832         0.3656802832
        9.3454703000        35.1004655785         2.7647343513         1.3301823480         5.0015316260        -0.1662183106         0.1662183106
        9.3505651000        23.9052800006         2.7513688291         1.3378393285         5.0066353810         0.0332436621        -0.0332436621
        9.3555101000        11.0232558891         2.6401664684         1.3454963091         5.0142910133         0.2327056348        -0.2327056348
        9.3605230000         4.8549828146         2.5669790346         1.3480486360         5.0117391359         0.2991929590        -0.2991929590
        9.3654748000        23.3261989407         2.7506740793         1.3352870017         5.0066353810        -0.0332436621         0.0332436621
        9.3704864000        32.0079282669         2.7610545922         1.3301823480         5.0066353810        -0.1662183106         0.1662183106
        9.3755284000        16.6124479037         2.7064830233         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.3804882000        15.7690286369         2.6964757342         1.3403916554         5.0091872584         0.0997309863        -0.0997309863
        9.3855195000        31.7267885113         2.7607196099         1.3301823480         5.0015316260        -0.1662183106         0.1662183106
        9.3905185000        33.1324872893         2.7623937538         1.3301823480         5.0015316260        -0.1662183106         0.1662183106
        9.3955134000        13.5367121408         2.6699889828         1.3429439823         5.0066353810         0.1662183106        -0.1662183106
        9.4005011000         7.9307185775         2.6034730751         1.3454963091         5.0142910133         0.2327056348        -0.2327056348
        9.4055275000        18.5636246442         2.7296340117         1.3378393285         4.9989797486         0.0332436621        -0.0332436621
        9.4105149000        26.6830744592         2.7546967410         1.3327346748         5.0066353810        -0.0997309863         0.0997309863
        9.4155205000         6.5250197995         2.5867942600         1.3454963091         5.0142910133         0.2327056348        -0.2327056348
        9.4205044000        12.9576310809         2.6631181040         1.3403916554         5.0066353810         0.0997309863        -0.0997309863
        9.4254726000        28.9153909554         2.7573655302         1.3301823480         5.0117391359        -0.1662183106         0.1662183106
        9.4304895000        21.9205001627         2.7489861694         1.3352870017         5.0066353810        -0.0332436621         0.0332436621
        9.4355280000        22.2016399183         2.7493239139         1.3352870017         5.0091872584        -0.0332436621         0.0332436621
        9.4404534000        14.0821901033         2.6764611561         1.3403916554         5.0168428908         0.0997309863        -0.0997309863
        9.4454602000        25.8396551924         2.7536871144         1.3327346748         5.0040835035        -0.0997309863         0.0997309863
        9.4504824000        14.0821901033         2.6764611561         1.3403916554         5.0117391359         0.0997309863        -0.0997309863
        9.4554741000         9.0384760512         2.6166167745         1.3429439823         5.0168428908         0.1662183106        -0.1662183106
        9.4604520000        41.2351355557         2.7720070329         1.3225253674         5.0091872584        -0.3656802832         0.3656802832
        9.4654800000        35.9270832966         2.7657163763         1.3276300211         4.9989797486        -0.2327056348         0.2327056348
        9.4704571000        29.4944720152         2.7580570269         1.3327346748         5.0066353810        -0.0997309863         0.0997309863
        9.4754955000        17.7370069261         2.7198260754         1.3403916554         5.0040835035         0.0997309863        -0.0997309863
        9.4804957000         0.0924085181         2.5104704160         1.3506009628         5.0091872584         0.3656802832        -0.3656802832
        9.4855140000        13.8010503477         2.6731253931         1.3403916554         5.0117391359         0.0997309863        -0.0997309863
        9.4904518000        33.9591050074         2.7633773375         1.3276300211         5.0066353810        -0.2327056348         0.2327056348
        9.4955486000        14.9256093701         2.6864684452         1.3403916554         5.0142910133         0.0997309863        -0.0997309863
