% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
       11.9954732000       108.0067879649         2.8492040618         1.3046590794         3.4653013957        -0.8736434403         0.8736434403         1.5243848497
       12.0009950000       119.5954355272         2.8623072196         1.3021067526         3.4678532732        -0.9401307646         0.9401307646         1.5447944263
       12.0058258000       144.3472469567         2.8900853364         1.2918974451         3.4780607830        -1.2060800615         1.2060800615         1.5524480175
       12.0108778000       137.7458181486         2.8827014102         1.3021067526         3.4882682929        -0.9401307646         0.9401307646         1.5549992146
       12.0158750000       162.4976295781         2.9103115608         1.2918974451         3.4806126605        -1.2060800615         1.2060800615         1.5626528058
       12.0207688000       160.0964955553         2.9076414480         1.2995544257         3.4908201703        -1.0066180888         1.0066180888         1.5575504116
       12.0262918000       168.6094073547         2.9171013125         1.2995544257         3.4933720478        -1.0066180888         1.0066180888         1.5652040029
       12.0308752000       172.9220243689         2.9218870441         1.3021067526         3.5010276801        -0.9401307646         0.9401307646         1.5652040029
       12.0357343000       172.4720670866         2.9213879138         1.3072114063         3.5163389449        -0.8071561161         0.8071561161         1.5677551999
       12.0405218000       162.4969612113         2.9103108177         1.3174207137         3.5163389449        -0.5412068192         0.5412068192         1.5677551999
       12.0455087000       158.6733268618         2.9060581092         1.3225253674         3.5342020871        -0.4082321708         0.4082321708         1.5677551999
       12.0507495000       166.3260178459         2.9145657043         1.3199730405         3.5367539646        -0.4747194950         0.4747194950         1.5652040029
       12.0563583000       170.3406935558         2.9190230243         1.3199730405         3.5520652293        -0.4747194950         0.4747194950         1.5754087912
       12.0606661000       182.7559588363         2.9327858448         1.3148683868         3.5520652293        -0.6076941434         0.6076941434         1.5703063970
       12.0655907000       187.8951935686         2.9384751009         1.3148683868         3.5622727392        -0.6076941434         0.6076941434         1.5830623824
       12.0704645000       184.6338387303         2.9348651587         1.3199730405         3.5724802490        -0.4747194950         0.4747194950         1.5881647766
       12.0757736000       197.0491040109         2.9486003074         1.3148683868         3.5852396363        -0.6076941434         0.6076941434         1.5856135795
       12.0804803000       193.7877491726         2.9449939564         1.3199730405         3.5852396363        -0.4747194950         0.4747194950         1.5856135795
