% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.3504213000       108.3637432516         2.8496087245         1.4093044805         4.9555978318       104.7215899753       101.1177349575        -1.1177349575         1.4044785871
        0.3554639000       106.6654675598         2.8476828455         1.4093044805         4.9658053416       104.7215899753       102.5083528538        -2.5083528538         1.3917226017
        0.3604262000       106.9743527782         2.8480332462         1.4067521537         4.9760128515       100.9121469059       101.8924255908        -1.8924255908         1.3968249959
        0.3654267000       102.2497998262         2.8426678176         1.4144091342         4.9862203613       112.3404761139       105.9240100933        -5.9240100933         1.3942737988
        0.3704573000       100.2662229357         2.8404113477         1.4118568074         4.9862203613       108.5310330446       106.9299808535        -6.9299808535         1.3993761929
        0.3754510000       103.4244611360         2.8440030061         1.4041998268         4.9887722387        97.1027038366       103.1379339415        -3.1379339415         1.4044785871
        0.3804355000       102.2875150043         2.8427106993         1.4093044805         4.9989797486       104.7215899753       103.7490185748        -3.7490185748         1.3942737988
        0.3854440000       101.3203639626         2.8416108001         1.4093044805         5.0066353810       104.7215899753       104.1243042587        -4.1243042587         1.3840690105
        0.3904553000       100.4574892569         2.8406290283         1.4093044805         5.0040835035       104.7215899753       104.3547786264        -4.3547786264         1.3968249959
        0.3954427000        93.1755904724         2.8323259142         1.4195137880         5.0091872584       119.9593622525       110.3761122116       -10.3761122116         1.3993761929
        0.4004212000        90.8083023821         2.8296195527         1.4144091342         5.0117391359       112.3404761139       111.1341004170       -11.1341004170         1.3968249959
        0.4054643000        95.1346911476         2.8345629528         1.4041998268         4.9989797486        97.1027038366       105.7198118015        -5.7198118015         1.3993761929
        0.4104427000        86.6113126635         2.8248125246         1.4220661148         4.9989797486       123.7688053218       112.6843687206       -12.6843687206         1.3993761929
        0.4154314000        86.5061592175         2.8246919382         1.4118568074         5.0015316260       108.5310330446       111.0817229726       -11.0817229726         1.3968249959
        0.4204690000        82.7141652719         2.8203384390         1.4169614611         5.0091872584       116.1499191832       113.0373855389       -13.0373855389         1.3968249959
        0.4254487000        79.4655688909         2.8166009611         1.4169614611         5.0117391359       116.1499191832       114.2384174803       -14.2384174803         1.3993761929
        0.4304363000        79.7922211796         2.8169771044         1.4118568074         5.0117391359       108.5310330446       112.0361116444       -12.0361116444         1.3917226017
        0.4354468000        82.7484756385         2.8203778737         1.4067521537         5.0040835035       100.9121469059       107.7437124311        -7.7437124311         1.3840690105
        0.4404308000        79.6497527626         2.8168130599         1.4144091342         5.0091872584       112.3404761139       109.5174635423        -9.5174635423         1.3993761929
        0.4454273000        80.2854134744         2.8175448782         1.4093044805         5.0015316260       104.7215899753       107.6668819906        -7.6668819906         1.3917226017
        0.4504579000        90.1314693083         2.8288451166         1.3939905194         4.9964278711        81.8649315594        97.7106951152         2.2893048848         1.3993761929
