% Designation Loop  psi_cmd=+0.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.338784V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        1.1854496000         0.9200091845         2.5202900151         1.3301823480         2.5160029810       -12.8378231436         0.3405705252
        1.1904298000        -2.0487484852         2.4850652849         1.3378393285         2.5134511035        -1.4094939356         0.1668552439
        1.1954461000         9.5737224567         2.6229675489         1.3301823480         2.5083473486       -12.8378231436        -0.1805753185
        1.2004254000        -1.1152869812         2.4961409378         1.3403916554         2.5108992261         2.3999491337        -0.0068600373
        1.2054407000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.2104470000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.2154609000        -6.8844291627         2.4276892487         1.3403916554         2.5160029810         2.3999491337         0.3405705252
        1.2204350000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        1.2254478000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.2304402000       -11.6359232614         2.3713120981         1.3352870017         2.5236586133        -5.2189370049         0.8617163689
        1.2356324000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.2405033000        -6.8844291627         2.4276892487         1.3403916554         2.5160029810         2.3999491337         0.3405705252
        1.2454768000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        1.2504413000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        1.2554336000       -14.6046809310         2.3360873679         1.3429439823         2.5211067359         6.2093922030         0.6880010877
        1.2604403000        -2.0487484852         2.4850652849         1.3378393285         2.5134511035        -1.4094939356         0.1668552439
        1.2654142000       -13.6712194270         2.3471630208         1.3454963091         2.5185548584        10.0188352723         0.5142858064
        1.2704447000        -4.9333195759         2.4508394403         1.3378393285         2.5160029810        -1.4094939356         0.3405705252
