% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.6404568000      -510.7552847482         1.7052652554         1.5165022085         2.6257337117         4.6547775691         8.5591363386
        0.6454002000      -489.2912779324         1.7290588949         1.4935312668         2.6359412215         4.0563916511         9.2539974636
        0.6503927000      -481.4975031256         1.7376180042         1.4756649788         2.6461487314         3.5909803815         9.9488585886
        0.6553802000      -544.2741228628         1.6673432205         1.4654556714         2.6691156285         3.3250310846        11.5122961198
        0.6604456000      -482.2787494214         1.7367618225         1.4348277491         2.6742193834         2.5271831939        11.8597266823
        0.6655920000      -468.1291880113         1.7522110428         1.4220661148         2.6793231383         2.1947465727        12.2071572448
        0.6704648000      -534.5630304513         1.6784362667         1.4169614611         2.6997381580         2.0617719243        13.5968794947
        0.6753923000      -537.2615943518         1.6753628665         1.4067521537         2.7073937904         1.7958226274        14.1180253384
        0.6807333000      -374.1774690469         1.8527944430         1.3608102703         2.6971862806         0.5990507913        13.4231642135
        0.6854080000      -295.3339702949         1.9371086907         1.3276300211         2.6997381580        -0.2652844237        13.5968794947
        0.6904639000       -40.2154436301         2.2475529752         1.2510602154         2.6869787707        -2.2599041505        12.7283030885
        0.6954565000       384.3429949429         3.1218223594         1.1336531800         2.6589081187        -5.3183210649        10.8174349948
        0.7004079000       438.0652641763         3.1769621401         1.1285485263         2.6487006088        -5.4512957133        10.1225738698
        0.7054011000       449.8181785806         3.1890698313         1.1540717949         2.6282855892        -4.7864224711         8.7328516199
        0.7104665000       549.9482716418         3.2943597040         1.1540717949         2.6027668146        -4.7864224711         6.9956988075
        0.7153869000       562.1805154472         3.3076333248         1.1719380829         2.5874555498        -4.3210112015         5.9534071200
        0.7203807000       550.7295179376         3.2952039571         1.1949090246         2.5746961625        -3.7226252835         5.0848307138
        0.7253975000       566.6189844458         3.3124797689         1.2076706589         2.5619367752        -3.3901886623         4.2162543076
        0.7304024000       592.5214602602         3.3411157864         1.2204322931         2.5466255105        -3.0577520412         3.1739626201
        0.7353873000       510.5000682066         3.2522743269         1.2510602154         2.5466255105        -2.2599041505         3.1739626201
        0.7406382000       492.6932840936         3.2335727273         1.2689265034         2.5389698781        -1.7944928809         2.6528167764
        0.7454425000       464.8734906746         3.2046279812         1.2867927914         2.5338661232        -1.3290816113         2.3053862139
        0.7504035000       500.7889757951         3.2420558996         1.2995544257         2.5160029810        -0.9966449902         1.0893792452
        0.7553885000       317.6788318779         3.0531133252         1.3454963091         2.5313142457         0.2001268459         2.1316709326
        0.7604568000        25.2068318891         2.7245363687         1.4322754222         2.5466255105         2.4606958696         3.1739626201
        0.7657921000      -247.2391494873         1.9898910182         1.5190545354         2.5568330203         4.7212648933         3.8688237451
        0.7704467000      -445.7594305116         1.7764160843         1.5445778039         2.5900074273         5.3861381356         6.1271224012
        0.7753884000      -390.5991730747         1.8353463871         1.5165022085         2.5951111822         4.6547775691         6.4745529637
        0.7803771000      -517.5904007526         1.6976130392         1.5190545354         2.6257337117         4.7212648933         8.5591363386
        0.7853886000      -448.7599113068         1.7731830992         1.4858742862         2.6308374666         3.8569296784         8.9065669011
        0.7904565000      -565.7381296786         1.6424813283         1.4884266131         2.6589081187         3.9234170026        10.8174349948
        0.7954040000      -476.8816216205         1.7426688367         1.4552463639         2.6589081187         3.0590817877        10.8174349948
        0.8003732000      -519.6322227454         1.6953195373         1.4450370565         2.6767712609         2.7931324908        12.0334419635
        0.8054411000      -505.0033319341         1.7116755395         1.4246184417         2.6869787707         2.2612338969        12.7283030885
        0.8104564000      -534.5630304513         1.6784362667         1.4169614611         2.6997381580         2.0617719243        13.5968794947
        0.8153985000      -513.5783530368         1.7021093814         1.4016475000         2.7048419129         1.6628479789        13.9443100572
        0.8203872000      -407.8737196680         1.8169670263         1.3659149240         2.7022900355         0.7320254397        13.7705947759
        0.8254576000      -244.7895943631         1.9926235122         1.3199730405         2.6920825256        -0.4647463963        13.0757336510
        0.8303874000        44.5045123240         2.7482631471         1.2306416006         2.6793231383        -2.7918027443        12.2071572448
        0.8353800000       380.6857722400         3.1180701699         1.1387578337         2.6563562412        -5.1853464164        10.6437197136
        0.8403974000       393.3973454466         3.1311090064         1.1489671412         2.6461487314        -4.9193971195         9.9488585886
        0.8453976000       429.3128305672         3.1679620004         1.1617287755         2.6282855892        -4.5869604984         8.7328516199
        0.8503872000       458.3931996832         3.1979236921         1.1770427366         2.6104224470        -4.1880365530         7.5168446512
        0.8553739000       497.9659075065         3.2390942134         1.1846997172         2.5951111822        -3.9885745804         6.4745529637
        0.8603994000       527.0462766225         3.2698050333         1.2000136783         2.5772480400        -3.5896506350         5.2585459950
        0.8653848000       475.5432418884         3.2156952630         1.2229846200         2.5746961625        -2.9912647170         5.0848307138
        0.8704590000       511.4587270089         3.2532857535         1.2357462543         2.5568330203        -2.6588280958         3.8688237451
        0.8754081000       486.8168268915         3.2274335155         1.2561648691         2.5491773879        -2.1269295020         3.3476779013
        0.8804011000       384.7694162256         3.1222598006         1.2867927914         2.5542811429        -1.3290816113         3.6951084638
        0.8853977000       451.2032586657         3.1904987052         1.2918974451         2.5338661232        -1.1961069628         2.3053862139
        0.8904659000       325.4726066847         3.0611965669         1.3276300211         2.5415217556        -0.2652844237         2.8265320576
        0.8954715000       243.4512146310         2.9749612180         1.3582579434         2.5415217556         0.5325634671         2.8265320576
        0.9004559000        59.3824119115         2.7663251244         1.4195137880         2.5466255105         2.1282592485         3.1739626201
        0.9054416000      -280.4560707074         1.9532788588         1.5165022085         2.5670405302         4.6547775691         4.5636848701
        0.9103854000      -404.7487344848         1.8202951615         1.5292638428         2.5900074273         4.9872141902         6.1271224012
        0.9154542000      -390.1198436735         1.8358558664         1.5088452279         2.6002149371         4.4553155964         6.8219835262
        0.9203855000      -392.3390781729         1.8334968729         1.4909789399         2.6129743244         3.9899043268         7.6905599324
        0.9253893000      -441.9247953023         1.7805423870         1.4833219594         2.6308374666         3.7904423542         8.9065669011
        0.9304483000      -457.3349324094         1.7639213419         1.4629033445         2.6487006088         3.2585437604        10.1225738698
        0.9354693000      -466.3892829132         1.7541027669         1.4475893834         2.6614599961         2.8596198150        10.9911502760
        0.9403850000      -471.7864107141         1.7482292003         1.4271707685         2.6767712609         2.3277212212        12.0334419635
        0.9453773000      -410.2703666739         1.8144133291         1.4041998268         2.6767712609         1.7293353031        12.0334419635
        0.9503961000      -382.4505732549         1.8440054378         1.3863335388         2.6818750158         1.2639240335        12.3808725260
        0.9553830000      -358.2880025386         1.8696808185         1.3735719045         2.6844268933         0.9314874124        12.5545878072
        0.9604884000      -377.8346917497         1.8489092318         1.3659149240         2.6946344031         0.7320254397        13.2494489322
        0.9654473000      -286.2796197911         1.9469348193         1.3429439823         2.6869787707         0.1336395217        12.7283030885
