% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        1.1954507000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.2004364000        25.1267085196         2.7528331124         1.3403916554         2.2123295633         1.2761634282       -20.3315479428
        1.2054447000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.2104509000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.2154402000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.2204413000       -23.3727137183         2.2660634096         1.3454963091         2.2174333183         8.8950495668       -19.9841173803
        1.2254261000       -43.5838583448         2.2311320810         1.3429439823         2.2225370732         5.0856064975       -19.6366868178
        1.2304371000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.2354249000        -0.4752954850         2.5037345276         1.3352870017         2.2199851957        -6.3427227104       -19.8104020990
        1.2404544000        43.9855602605         2.7752563586         1.3352870017         2.2123295633        -6.3427227104       -20.3315479428
        1.2454377000        19.7358491415         2.7435426214         1.3378393285         2.2148814408        -2.5332796411       -20.1578326615
        1.2504636000        14.3449897635         2.6795793113         1.3352870017         2.2174333183        -6.3427227104       -19.9841173803
        1.2554320000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.2604511000       -39.5452918524         2.2379694802         1.3378393285         2.2250889506        -2.5332796411       -19.4629715365
        1.2654335000        -8.5524284698         2.4078982006         1.3454963091         2.2148814408         8.8950495668       -20.1578326615
        1.2704470000       -38.1929989668         2.2402745104         1.3454963091         2.2199851957         8.8950495668       -19.8104020990
        1.2754512000        -0.4752954850         2.5037345276         1.3352870017         2.2199851957        -6.3427227104       -19.8104020990
        1.2804549000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
