% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.8550083000         0.8793212773         3.1087053565         1.5445778039         4.1568601871         5.3851408257         6.3997881887
        0.8601606000         0.8823862040         3.1101207586         1.5445778039         4.1823789617         5.3851408257         6.4220950314
        0.8650076000         0.8852357537         3.1114373462         1.5394731502         4.2053458588         5.2521661773         6.4428343389
        0.8700140000         0.8881445340         3.1127819453         1.5445778039         4.2283127560         5.3851408257         6.4640047331
        0.8750154000         0.8910153097         3.1141096162         1.5420254771         4.2385202658         5.3186535015         6.4848985258
        0.8800161000         0.8938504956         3.1154214522         1.5420254771         4.2640390404         5.3186535015         6.5055332920
        0.8850166000         0.8966502726         3.1167175146         1.5547871113         4.2921096924         5.6510901226         6.5259103490
        0.8900082000         0.8994097557         3.1179955183         1.5369208233         4.3023172023         5.1856788531         6.5459941433
        0.8950161000         0.9021426883         3.1192618077         1.5547871113         4.3252840994         5.6510901226         6.5658847000
        0.9000187000         0.9048370577         3.1205107967         1.5369208233         4.3482509965         5.1856788531         6.5854945893
        0.9050047000         0.9074869056         3.1217396983         1.5675487456         4.3712178937         5.9835267438         6.6047804479
        0.9100191000         0.9101159162         3.1229594765         1.5471301308         4.3890810359         5.4516281500         6.6239146495
        0.9150166000         0.9127001117         3.1241589871         1.5496824576         4.4094960556         5.5181154742         6.6427226829
        0.9200732000         0.9152782304         3.1253561966         1.5445778039         4.4324629527         5.3851408257         6.6614864889
        0.9250164000         0.9177628102         3.1265104607         1.5547871113         4.4605336047         5.6510901226         6.6795695093
        0.9300162000         0.9202398146         3.1276616865         1.5496824576         4.4783967469         5.5181154742         6.6975973944
        0.9350148000         0.9226799109         3.1287962288         1.5649964188         4.5115711539         5.9170394196         6.7153566594
        0.9400166000         0.9250851289         3.1299150114         1.5471301308         4.5243305412         5.4516281500         6.7328620766
        0.9450145000         0.9274519672         3.1310163853         1.5675487456         4.5472974383         5.9835267438         6.7500881623
        0.9500158000         0.9297837948         3.1321018985         1.5726533993         4.5779199678         6.1165013922         6.7670594367
        0.9550090000         0.9320752096         3.1331690158         1.5445778039         4.5932312326         5.3851408257         6.7837365833
        0.9600168000         0.9343364666         3.1342224943         1.5675487456         4.6161981297         5.9835267438         6.8001942378
        0.9650198000         0.9365586082         3.1352581429         1.5624440919         4.6391650269         5.8505520953         6.8163672067
        0.9700167000         0.9387410901         3.1362756874         1.5701010725         4.6621319240         6.0500140680         6.8322515276
        0.9750102000         0.9408851107         3.1372756670         1.5547871113         4.6799950662         5.6510901226         6.8478559243
        0.9800181000         0.9429981057         3.1382615323         1.5726533993         4.7080657183         6.1165013922         6.8632345129
        0.9850050000         0.9450651291         3.1392262910         1.5624440919         4.7361363703         5.8505520953         6.8782785158
