% Potentiometer Recording  5.0 s
% Vg_offset=1.338567V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        3.4204869000         1.3327346748         2.5389698781        -0.1519235359
        3.4255074000         1.3378393285         2.5440736330        -0.0189488874
        3.4304254000         1.3301823480         2.5364180006        -0.2184108601
        3.4354258000         1.3327346748         2.5389698781        -0.1519235359
        3.4404116000         1.3378393285         2.5466255105        -0.0189488874
        3.4454974000         1.3378393285         2.5466255105        -0.0189488874
        3.4504802000         1.3378393285         2.5440736330        -0.0189488874
        3.4554171000         1.3454963091         2.5491773879         0.1805130853
        3.4604200000         1.3429439823         2.5491773879         0.1140257610
        3.4654049000         1.3429439823         2.5517292654         0.1140257610
        3.4704167000         1.3454963091         2.5440736330         0.1805130853
        3.4755083000         1.3327346748         2.5389698781        -0.1519235359
        3.4805129000         1.3378393285         2.5440736330        -0.0189488874
        3.4855108000         1.3429439823         2.5491773879         0.1140257610
        3.4904187000         1.3352870017         2.5415217556        -0.0854362116
        3.4954236000         1.3378393285         2.5440736330        -0.0189488874
        3.5004155000         1.3327346748         2.5389698781        -0.1519235359
        3.5054240000         1.3403916554         2.5415217556         0.0475384368
        3.5104235000         1.3378393285         2.5440736330        -0.0189488874
        3.5154257000         1.3429439823         2.5440736330         0.1140257610
        3.5205045000         1.3378393285         2.5440736330        -0.0189488874
        3.5255043000         1.3378393285         2.5466255105        -0.0189488874
        3.5304188000         1.3327346748         2.5389698781        -0.1519235359
        3.5354021000         1.3327346748         2.5364180006        -0.1519235359
        3.5403813000         1.3403916554         2.5440736330         0.0475384368
        3.5453951000         1.3506009628         2.5491773879         0.3134877337
        3.5503822000         1.3454963091         2.5491773879         0.1805130853
        3.5555092000         1.3378393285         2.5466255105        -0.0189488874
        3.5604224000         1.3352870017         2.5440736330        -0.0854362116
        3.5655049000         1.3301823480         2.5364180006        -0.2184108601
        3.5703841000         1.3378393285         2.5440736330        -0.0189488874
        3.5754489000         1.3378393285         2.5440736330        -0.0189488874
        3.5805095000         1.3378393285         2.5440736330        -0.0189488874
        3.5854093000         1.3378393285         2.5389698781        -0.0189488874
        3.5904237000         1.3378393285         2.5389698781        -0.0189488874
        3.5954244000         1.3378393285         2.5466255105        -0.0189488874
        3.6005145000         1.3454963091         2.5491773879         0.1805130853
        3.6053961000         1.3301823480         2.5415217556        -0.2184108601
        3.6103824000         1.3403916554         2.5440736330         0.0475384368
        3.6154204000         1.3429439823         2.5466255105         0.1140257610
        3.6204761000         1.3608102703         2.5466255105         0.5794370306
        3.6254126000         1.3454963091         2.5491773879         0.1805130853
        3.6304709000         1.3454963091         2.5517292654         0.1805130853
        3.6354739000         1.3403916554         2.5440736330         0.0475384368
        3.6404829000         1.3403916554         2.5440736330         0.0475384368
        3.6454976000         1.3378393285         2.5440736330        -0.0189488874
        3.6504772000         1.3454963091         2.5542811429         0.1805130853
        3.6553888000         1.3378393285         2.5466255105        -0.0189488874
        3.6603979000         1.3378393285         2.5440736330        -0.0189488874
        3.6655069000         1.3378393285         2.5440736330        -0.0189488874
        3.6704778000         1.3352870017         2.5440736330        -0.0854362116
        3.6754198000         1.3327346748         2.5364180006        -0.1519235359
        3.6804259000         1.3352870017         2.5466255105        -0.0854362116
        3.6855022000         1.3378393285         2.5440736330        -0.0189488874
        3.6904940000         1.3352870017         2.5517292654        -0.0854362116
        3.6954963000         1.3429439823         2.5491773879         0.1140257610
        3.7004087000         1.3454963091         2.5517292654         0.1805130853
        3.7054183000         1.3378393285         2.5466255105        -0.0189488874
        3.7105029000         1.3327346748         2.5389698781        -0.1519235359
        3.7155045000         1.3352870017         2.5440736330        -0.0854362116
        3.7205084000         1.3352870017         2.5466255105        -0.0854362116
        3.7254103000         1.3429439823         2.5517292654         0.1140257610
        3.7304220000         1.3454963091         2.5491773879         0.1805130853
        3.7356465000         1.3454963091         2.5517292654         0.1805130853
        3.7405063000         1.3454963091         2.5491773879         0.1805130853
        3.7454149000         1.3378393285         2.5466255105        -0.0189488874
        3.7504749000         1.3378393285         2.5415217556        -0.0189488874
        3.7553876000         1.3327346748         2.5389698781        -0.1519235359
        3.7603922000         1.3710195777         2.5517292654         0.8453863275
        3.7655092000         1.3429439823         2.5491773879         0.1140257610
        3.7705099000         1.3454963091         2.5517292654         0.1805130853
        3.7754186000         1.3352870017         2.5440736330        -0.0854362116
        3.7804787000         1.3352870017         2.5389698781        -0.0854362116
        3.7854352000         1.3454963091         2.5491773879         0.1805130853
        3.7903904000         1.3454963091         2.5440736330         0.1805130853
        3.7955018000         1.3378393285         2.5389698781        -0.0189488874
        3.8004155000         1.3378393285         2.5440736330        -0.0189488874
        3.8055429000         1.3352870017         2.5440736330        -0.0854362116
        3.8105465000         1.3378393285         2.5466255105        -0.0189488874
        3.8154475000         1.3454963091         2.5517292654         0.1805130853
        3.8204186000         1.3454963091         2.5491773879         0.1805130853
        3.8254890000         1.3429439823         2.5517292654         0.1140257610
        3.8305097000         1.3403916554         2.5440736330         0.0475384368
        3.8355543000         1.3352870017         2.5440736330        -0.0854362116
        3.8404560000         1.3301823480         2.5389698781        -0.2184108601
        3.8454584000         1.3301823480         2.5389698781        -0.2184108601
        3.8505058000         1.3301823480         2.5389698781        -0.2184108601
        3.8555066000         1.3327346748         2.5364180006        -0.1519235359
        3.8603909000         1.3429439823         2.5517292654         0.1140257610
        3.8655000000         1.3378393285         2.5440736330        -0.0189488874
        3.8703786000         1.3378393285         2.5440736330        -0.0189488874
        3.8754698000         1.3378393285         2.5491773879        -0.0189488874
        3.8805068000         1.3429439823         2.5517292654         0.1140257610
        3.8854097000         1.3378393285         2.5466255105        -0.0189488874
        3.8905314000         1.3429439823         2.5491773879         0.1140257610
        3.8955796000         1.3378393285         2.5440736330        -0.0189488874
        3.9004163000         1.3327346748         2.5389698781        -0.1519235359
        3.9054142000         1.3378393285         2.5440736330        -0.0189488874
        3.9104051000         1.3454963091         2.5491773879         0.1805130853
        3.9155333000         1.3352870017         2.5466255105        -0.0854362116
        3.9205079000         1.3454963091         2.5491773879         0.1805130853
        3.9255930000         1.3352870017         2.5415217556        -0.0854362116
        3.9304762000         1.3429439823         2.5517292654         0.1140257610
        3.9354223000         1.3454963091         2.5491773879         0.1805130853
        3.9405013000         1.3429439823         2.5491773879         0.1140257610
        3.9454106000         1.3429439823         2.5440736330         0.1140257610
        3.9504227000         1.3352870017         2.5440736330        -0.0854362116
        3.9554048000         1.3352870017         2.5440736330        -0.0854362116
        3.9605022000         1.3352870017         2.5440736330        -0.0854362116
        3.9655004000         1.3403916554         2.5440736330         0.0475384368
        3.9705072000         1.3378393285         2.5440736330        -0.0189488874
        3.9754113000         1.3429439823         2.5491773879         0.1140257610
        3.9805005000         1.3454963091         2.5517292654         0.1805130853
        3.9854092000         1.3454963091         2.5440736330         0.1805130853
        3.9904195000         1.3378393285         2.5466255105        -0.0189488874
        3.9955121000         1.3378393285         2.5440736330        -0.0189488874
        4.0004988000         1.3378393285         2.5466255105        -0.0189488874
        4.0055255000         1.3403916554         2.5389698781         0.0475384368
        4.0105230000         1.3531532897         2.5491773879         0.3799750580
        4.0156115000         1.3403916554         2.5466255105         0.0475384368
        4.0205150000         1.3378393285         2.5440736330        -0.0189488874
        4.0255381000         1.3327346748         2.5364180006        -0.1519235359
        4.0305106000         1.3378393285         2.5466255105        -0.0189488874
        4.0355006000         1.3403916554         2.5440736330         0.0475384368
        4.0404998000         1.3327346748         2.5389698781        -0.1519235359
        4.0454139000         1.3378393285         2.5466255105        -0.0189488874
        4.0504780000         1.3454963091         2.5491773879         0.1805130853
        4.0554045000         1.3378393285         2.5389698781        -0.0189488874
        4.0604185000         1.3327346748         2.5364180006        -0.1519235359
        4.0655050000         1.3327346748         2.5389698781        -0.1519235359
        4.0704797000         1.3378393285         2.5440736330        -0.0189488874
        4.0755005000         1.3378393285         2.5440736330        -0.0189488874
        4.0804540000         1.3531532897         2.5440736330         0.3799750580
        4.0854556000         1.3429439823         2.5491773879         0.1140257610
        4.0904479000         1.3429439823         2.5491773879         0.1140257610
        4.0955283000         1.3403916554         2.5440736330         0.0475384368
        4.1005244000         1.3327346748         2.5389698781        -0.1519235359
        4.1055336000         1.3301823480         2.5389698781        -0.2184108601
        4.1105294000         1.3454963091         2.5517292654         0.1805130853
        4.1155428000         1.3352870017         2.5440736330        -0.0854362116
        4.1205137000         1.3378393285         2.5440736330        -0.0189488874
