% K_lin=8.298800  p_cw=[-3.546300 37.820400 -77.140100]  p_ccw=[2.942800 3.999600 -23.482400]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        1.2650052000         0.9879958400         3.2419430873         1.6160429559         2.2072258084         7.2600833689         8.1991798770
        1.2700027000         0.9839978400         3.2397065074         1.6109383022         2.2327445830         7.1271087205         8.1660012746
        1.2750034000         0.9799972800         3.2374708856         1.6313569170         2.2761264998         7.6590073143         8.1328014273
        1.2800029000         0.9759976800         3.2352381826         1.6185952828         2.2914377646         7.3265706932         8.0996095468
        1.2850999000         0.9719200800         3.2329643819         1.6185952828         2.3246121715         7.3265706932         8.0657703599
        1.2900028000         0.9679977600         3.2307794917         1.6364615707         2.3603384560         7.7919819627         8.0332198107
        1.2953429000         0.9637256800         3.2284023525         1.6236999365         2.3935128629         7.4595453416         7.9977666732
        1.3000042000         0.9599966400         3.2263295735         1.6313569170         2.4139278826         7.6590073143         7.9668201160
        1.3050024000         0.9559980800         3.2241092466         1.6134906290         2.4343429023         7.1935960447         7.9336368663
        1.3100034000         0.9519972800         3.2218900136         1.6236999365         2.4726210642         7.4595453416         7.9004350273
        1.3150026000         0.9479979200         3.2196739094         1.6313569170         2.4955879613         7.6590073143         7.8672451385
        1.3200042000         0.9439966400         3.2174590650         1.6109383022         2.5236586133         7.1271087205         7.8340393160
        1.3250042000         0.9399966400         3.2152472451         1.6109383022         2.5491773879         7.1271087205         7.8008441160
        1.3300030000         0.9359976000         3.2130382635         1.6339092439         2.5874555498         7.7254946385         7.7676568829
        1.3350042000         0.9319966400         3.2108305231         1.6083859753         2.6053186920         7.0606213963         7.7344537160
