% K_lin=7.165500  p_cw=[-3.083600 35.229700 -73.320600]  p_ccw=[2.523100 5.992400 -26.429300]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        3.8350022000        -0.9319982400         1.8519446485         1.0723973355         3.8021492203        -6.8824353673        -6.6782333887
        3.8400022000        -0.9279982400         1.8538128052         1.0775019892         3.7740785683        -6.7494607189        -6.6495713887
        3.8450029000        -0.9239976800         1.8556800763         1.0647403549         3.7511116711        -7.0818973400        -6.6209053760
        3.8500028000        -0.9199977600         1.8575459039         1.0672926818         3.7204891416        -7.0154100158        -6.5922439492
        3.8550020000        -0.9159984000         1.8594103280         1.0519787206         3.6949703670        -7.4143339611        -6.5635865352
        3.8600014000        -0.9119988800         1.8612736864         1.0775019892         3.6643478375        -6.7494607189        -6.5349279746
        3.8650016000        -0.9079987200         1.8631362046         1.0800543160         3.6388290629        -6.6829733946        -6.5062648281
        3.8700019000        -0.9039984800         1.8649976235         1.0570833743         3.6107584109        -7.2813593127        -6.4776011084
        3.8750022000        -0.8999982400         1.8668579081         1.0698450086         3.5852396363        -6.9489226916        -6.4489373887
        3.8800020000        -0.8959984000         1.8687168745         1.0800543160         3.5673764941        -6.6829733946        -6.4202765352
        3.8850018000        -0.8919985600         1.8705747108         1.0596357012         3.5265464547        -7.2148719885        -6.3916156817
        3.8900029000        -0.8879976800         1.8724319018         1.0749496623         3.5061314351        -6.8159480431        -6.3629473760
        3.8950023000        -0.8839981600         1.8742873355         1.0698450086         3.4831645379        -6.9489226916        -6.3342888155
        3.9000032000        -0.8799974400         1.8761422018         1.0647403549         3.4525420084        -7.0818973400        -6.3056216563
        3.9050018000        -0.8759985600         1.8779950933         1.0800543160         3.4321269888        -6.6829733946        -6.2769676816
        3.9100009000        -0.8719992800         1.8798470508         1.0647403549         3.3938488269        -7.0818973400        -6.2483108408
        3.9150022000        -0.8679982400         1.8816987051         1.0698450086         3.3785375621        -6.9489226916        -6.2196413887
        3.9200018000        -0.8639985600         1.8835486141         1.0749496623         3.3479150326        -6.8159480431        -6.1909816817
        3.9250022000        -0.8599982400         1.8853977052         1.0723973355         3.3198443806        -6.8824353673        -6.1623173887
        3.9300029000        -0.8559976800         1.8872457951         1.0826066429         3.2968774834        -6.6164860704        -6.1336513760
        3.9350018000        -0.8519985600         1.8890921103         1.0621880280         3.2560474441        -7.1483846642        -6.1049956817
        3.9400020000        -0.8479984000         1.8909377978         1.0519787206         3.2330805470        -7.4143339611        -6.0763325352
        3.9450023000        -0.8439981600         1.8927824163         1.0775019892         3.2177692822        -6.7494607189        -6.0476688154
        3.9500024000        -0.8399980800         1.8946258572         1.0775019892         3.1845948752        -6.7494607189        -6.0190062422
        3.9550018000        -0.8359985600         1.8964679382         1.0749496623         3.1590761006        -6.8159480431        -5.9903476817
        3.9600022000        -0.8319982400         1.8983092878         1.0775019892         3.1335573261        -6.7494607189        -5.9616833887
        3.9650016000        -0.8279987200         1.9001491713         1.0749496623         3.1131423064        -6.8159480431        -5.9330248281
        3.9700040000        -0.8239968000         1.9019890622         1.0826066429         3.0850716543        -6.6164860704        -5.9043490704
        3.9750019000        -0.8199984800         1.9038262044         1.0877112966         3.0493453699        -6.4835114220        -5.8756991084
        3.9800020000        -0.8159984000         1.9056630635         1.0494263938         3.0263784728        -7.4808212854        -5.8470365352
        3.9850016000        -0.8119987200         1.9074986488         1.0877112966         3.0034115756        -6.4835114220        -5.8183768281
        3.9900023000        -0.8079981600         1.9093335497         1.0775019892         2.9753409236        -6.7494607189        -5.7897108155
        3.9950080000        -0.8039936000         1.9111691970         1.0749496623         2.9472702715        -6.8159480431        -5.7610161408
        4.0000185000        -0.7999852000         1.9130055162         1.0800543160         2.9217514970        -6.6829733946        -5.7322939506
        4.0050033000        -0.7959973600         1.9148313379         1.0775019892         2.9089921097        -6.7494607189        -5.7037190831
        4.0100020000        -0.7919984000         1.9166611724         1.0851589698         2.8809214576        -6.5499987462        -5.6750645352
        4.0150018000        -0.7879985600         1.9184903313         1.0877112966         2.8528508056        -6.4835114220        -5.6464036816
        4.0200033000        -0.7839973600         1.9203190349         1.0775019892         2.8222282761        -6.7494607189        -5.6177330831
        4.0250023000        -0.7799981600         1.9221457499         1.0902636235         2.8094688888        -6.4170240977        -5.5890768154
        4.0300026000        -0.7759979200         1.9239718671         1.0928159503         2.7813982367        -6.3505367735        -5.5604130957
        4.0350016000        -0.7719987200         1.9257964388         1.0723973355         2.7456719523        -6.8824353673        -5.5317568282
        4.0400037000        -0.7679970400         1.9276210722         1.0979206040         2.7354644424        -6.2175621251        -5.5030827901
        4.0450015000        -0.7639988000         1.9294430704         1.0877112966         2.6946344031        -6.4835114220        -5.4744334014
        4.0500027000        -0.7599978400         1.9312652427         1.0877112966         2.6767712609        -6.4835114220        -5.4457645225
        4.0550014000        -0.7559988800         1.9330854408         1.0928159503         2.6487006088        -6.3505367735        -5.4171099746
        4.0600023000        -0.7519981600         1.9349053783         1.0928159503         2.6282855892        -6.3505367735        -5.3884428155
        4.0650019000        -0.7479984800         1.9367237829         1.0877112966         2.6053186920        -6.4835114220        -5.3597831084
        4.0700017000        -0.7439986400         1.9385412024         1.1055775846         2.5823517949        -6.0181001524        -5.3311222549
        4.0750015000        -0.7399988000         1.9403575660         1.1055775846         2.5670405302        -6.0181001524        -5.3024614014
        4.0800010000        -0.7359992000         1.9421727665         1.0826066429         2.5287623683        -6.6164860704        -5.2738022676
        4.0850022000        -0.7319982400         1.9439875314         1.0928159503         2.5108992261        -6.3505367735        -5.2451333887
        4.0900022000        -0.7279982400         1.9458008103         1.1157868920         2.4802766965        -5.7521508555        -5.2164713887
        4.0950031000        -0.7239975200         1.9476133665         1.0953682772         2.4649654318        -6.2840494493        -5.1878042295
        4.1000030000        -0.7199976000         1.9494245132         1.1004729309         2.4368947797        -6.1510748008        -5.1591428028
        4.1050012000        -0.7159990400         1.9512339996         1.1081299115         2.4190316375        -5.9516128282        -5.1304911211
        4.1100069000        -0.7119944800         1.9530451563         1.1106822383         2.3960647404        -5.8851255039        -5.1017964464
        4.1150021000        -0.7079983200         1.9548514733         1.1004729309         2.3679940883        -6.1510748008        -5.0731619619
