Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        1.1400017000        71.2462212118         2.8071110458         1.3990951731         3.0238265953        90.4933201114        71.2462212118
        1.1450014000        71.5553163862         2.8074688195         1.3939905194         3.0314822277        82.8744339728        71.5553163862
        1.1500101000        71.8649237130         2.8078271143         1.3965428462         3.0340341051        86.6838770421        71.8649237130
        1.1550024000        72.1734730253         2.8081841134         1.4118568074         3.0544491248       109.5405354579        72.1734730253
        1.1600033000        72.4825093632         2.8085416050         1.4041998268         3.0595528797        98.1122062500        72.4825093632
        1.1650040000        72.7914886173         2.8088989596         1.3990951731         3.0570010023        90.4933201114        72.7914886173
        1.1700054000        73.1004661993         2.8092562414         1.3990951731         3.0621047572        90.4933201114        73.1004661993
        1.1750025000        73.4091330755         2.8096130935         1.4041998268         3.0825197769        98.1122062500        73.4091330755
        1.1800059000        73.7181437827         2.8099702726         1.4041998268         3.0774160220        98.1122062500        73.7181437827
        1.1850038000        74.0267693491         2.8103269363         1.3965428462         3.0876235318        86.6838770421        74.0267693491
        1.1900031000        74.3354357223         2.8106835772         1.4016475000         3.0850716543        94.3027631807        74.3354357223
        1.1950016000        74.6440068726         2.8110400383         1.4067521537         3.1080385515       101.9216493193        74.6440068726
        1.2000024000        74.9526739590         2.8113965405         1.4016475000         3.1054866740        94.3027631807        74.9526739590
        1.2050017000        75.2612022323         2.8117528130         1.4016475000         3.1054866740        94.3027631807        75.2612022323
        1.2100025000        75.5697766444         2.8121090694         1.3990951731         3.1156941838        90.4933201114        75.5697766444
        1.2150017000        75.8782057200         2.8124650890         1.4067521537         3.1207979388       101.9216493193        75.8782057200
        1.2200026000        76.1866928647         2.8128211066         1.4118568074         3.1386610810       109.5405354579        76.1866928647
        1.2250016000        76.4950158189         2.8131768661         1.4067521537         3.1310054486       101.9216493193        76.4950158189
        1.2300016000        76.8033532684         2.8135325737         1.4067521537         3.1412129584       101.9216493193        76.8033532684
        1.2350015000        77.1116371772         2.8138881512         1.4144091342         3.1590761006       113.3499785272        77.1116371772
        1.2400053000        77.4201139317         2.8142438829         1.4093044805         3.1616279781       105.7310923886        77.4201139317
        1.2450027000        77.7281483985         2.8145990365         1.4118568074         3.1743873654       109.5405354579        77.7281483985
        1.2500245000        78.0376386074         2.8149558004         1.4067521537         3.1743873654       101.9216493193        78.0376386074
        1.2550025000        78.3443815263         2.8153093299         1.4067521537         3.1896986301       101.9216493193        78.3443815263
        1.2600025000        78.6524318591         2.8156642990         1.4093044805         3.1922505076       105.7310923886        78.6524318591
        1.2650016000        78.9603782387         2.8160190811         1.3965428462         3.1896986301        86.6838770421        78.9603782387
        1.2700013000        79.2683128807         2.8163737825         1.4169614611         3.2050098949       117.1594215965        79.2683128807
        1.2750025000        79.5762909955         2.8167284671         1.4169614611         3.2152174047       117.1594215965        79.5762909955
        1.2800013000        79.8840722412         2.8170828583         1.4093044805         3.2177692822       105.7310923886        79.8840722412
        1.2850025000        80.1919519693         2.8174372963         1.4118568074         3.2254249146       109.5405354579        80.1919519693
        1.2900016000        80.4996529605         2.8177914622         1.4067521537         3.2254249146       101.9216493193        80.4996529605
        1.2950026000        80.8074212316         2.8181456394         1.4144091342         3.2407361793       113.3499785272        80.8074212316
        1.3000015000        81.1150104319         2.8184995445         1.3939905194         3.2407361793        82.8744339728        81.1150104319
        1.3050021000        81.4226541957         2.8188534466         1.4093044805         3.2483918117       105.7310923886        81.4226541957
        1.3100014000        81.7301677641         2.8192071333         1.4118568074         3.2611511990       109.5405354579        81.7301677641
        1.3150032000        82.0377846717         2.8195608734         1.4144091342         3.2688068314       113.3499785272        82.0377846717
        1.3200023000        82.3451849255         2.8199142991         1.4093044805         3.2764624638       105.7310923886        82.3451849255
        1.3250024000        82.6525958784         2.8202676720         1.4093044805         3.2790143412       105.7310923886        82.6525958784
        1.3300015000        82.9598943802         2.8206208507         1.4067521537         3.2943256060       101.9216493193        82.9598943802
        1.3350018000        83.2672154725         2.8209739908         1.4118568074         3.2943256060       109.5405354579        83.2672154725
        1.3400017000        83.5744606171         2.8213269790         1.4144091342         3.3019812383       113.3499785272        83.5744606171
        1.3450022000        83.8816910720         2.8216798859         1.4348277491         3.3121887482       143.8255230817        83.8816910720
        1.3500014000        84.1887899223         2.8220325776         1.4067521537         3.3172925031       101.9216493193        84.1887899223
        1.3550023000        84.4959412612         2.8223852655         1.4195137880         3.3300518904       120.9688646658        84.4959412612
